N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
3;51;48;99;Cd;-69931.132;1.584;8398.3734;0.0160;-8555;298;924925.845;1.700;0;8502.53371190045;-104.16031190045032
1;50;49;99;In;-61376;298;8304.0;3;-13400;500;934110;320;0;8381.682924472923;-77.68292447292333
-1;49;50;99;Sn;-47976;582;8161.0;6;*;;948495;625;0;8239.013074678356;-78.01307467835613
28;64;36;100;Kr;-34470;400;8134.0;4;11796;400;962995;429;-1;8206.88726077598;-72.8872607759804
26;63;37;100;Rb;-46265.884;13.124;8244.5085;0.1312;13551.6204;14.8355;950331.532;14.089;1;8331.246597410245;-86.73809741024525
24;62;38;100;Sr;-59817.505;6.918;8372.2012;0.0692;7503.7365;13.1453;935783.270;7.426;-1;8479.002080253667;-106.80088025366786
22;61;39;100;Y;-67321.241;11.179;8439.4151;0.1118;9051.4949;13.8293;927727.678;12.000;1;8560.553709306247;-121.13860930624651
20;60;40;100;Zr;-76372.736;8.143;8522.1066;0.0814;3418.5098;11.3976;918010.499;8.742;-1;8665.501484567985;-143.39488456798608
18;59;41;100;Nb;-79791.246;7.976;8548.4683;0.0798;6401.7829;7.9817;914340.578;8.562;1;8704.245406038879;-155.77710603887863
16;58;42;100;Mo;-86193.029;0.301;8604.6626;0.0030;-172.0776;1.3704;907467.982;0.322;-1;8766.385473718932;-161.72287371893253
14;57;43;100;Tc;-86020.951;1.351;8595.1184;0.0135;3206.4401;1.3760;907652.715;1.450;1;8762.321687608142;-167.203287608143
12;56;44;100;Ru;-89227.391;0.342;8619.3593;0.0034;-3636.2612;18.1231;904210.460;0.367;-1;8781.654047706514;-162.2947477065136
10;55;45;100;Rh;-85591.130;18.125;8575.1732;0.1813;-378.4577;25.2879;908114.147;19.458;1;8734.782554014038;-159.60935401403913
8;54;46;100;Pd;-85212.672;17.637;8563.5652;0.1764;-7074.7030;18.3319;908520.438;18.934;-1;8711.307206530726;-147.74200653072694
6;53;47;100;Ag;-78137.969;5.000;8484.9947;0.0500;-3943.3740;5.2735;916115.443;5.367;1;8621.628005256567;-136.63330525656784
4;52;48;100;Cd;-74194.595;1.677;8437.7375;0.0168;-10016.4492;2.7945;920348.829;1.800;-1;8555.34495019157;-117.60745019157002
2;51;49;100;In;-64178.146;2.236;8329.7495;0.0224;-7030.0000;240.0000;931101.929;2.400;1;8422.858041335727;-93.10854133572684
0;50;50;100;Sn;-57148.146;240.010;8251.626;2.4001;*;;938648.944;257.661;-1;8313.767278689045;-62.141278689045066
29;65;36;101;Kr;-28580;500;8075.0;5;13987;501;969318;537;0;8139.234533864572;-64.23453386457186
27;64;37;101;Rb;-42567.417;20.493;8206.1753;0.2029;12757.4969;22.1781;954302.000;22.000;0;8291.52203553723;-85.3467355372286
25;63;38;101;Sr;-55324.914;8.480;8324.7411;0.0840;9729.8721;11.0473;940606.264;9.103;0;8422.808869277953;-98.06776927795363
23;62;39;101;Y;-65054.787;7.080;8413.3305;0.0701;8106.2003;10.9331;930160.817;7.601;0;8533.095035086744;-119.76453508674422
21;61;40;101;Zr;-73160.987;8.332;8485.8439;0.0825;5730.5011;9.1366;921458.454;8.944;0;8622.380532963607;-136.5366329636072
19;60;41;101;Nb;-78891.488;3.749;8534.8355;0.0371;4628.4637;3.7378;915306.508;4.024;0;8690.665362908538;-155.82986290853842
17;59;42;101;Mo;-83519.952;0.308;8572.9159;0.0031;2824.6411;24.0018;910337.648;0.331;0;8737.94952492154;-165.03362492153974
15;58;43;101;Tc;-86344.593;24.004;8593.1366;0.2377;1613.5200;24.0000;907305.271;25.768;0;8764.23301900261;-171.09641900260976
13;57;44;101;Ru;-87958.113;0.413;8601.366;0.0041;-545.6846;5.8518;905573.086;0.443;0;8769.51584515175;-168.14984515175092
11;56;45;101;Rh;-87412.428;5.841;8588.2172;0.0578;-1980.2833;3.9027;906158.903;6.270;0;8753.798003368962;-165.58080336896273
9;55;46;101;Pd;-85432.145;4.588;8560.8644;0.0454;-4097.7606;6.6679;908284.824;4.925;0;8717.07949365424;-156.21509365424026
7;54;47;101;Ag;-81334.384;4.838;8512.5465;0.0479;-5497.9186;5.0625;912683.951;5.193;0;8659.360316007587;-146.81381600758687
5;53;48;101;Cd;-75836.466;1.490;8450.3657;0.0148;-7291.5642;11.7569;918586.209;1.600;0;8580.640470429007;-130.27477042900682
3;52;49;101;In;-68544.901;11.662;8370.426;0.1155;-8239.2770;300.2313;926414.025;12.519;0;8480.919956918497;-110.49395691849713
1;51;50;101;Sn;-60305.624;300.005;8281.103;2.9703;*;;935259.252;322.068;0;8360.198775476052;-79.09577547605295
28;65;37;102;Rb;-37252.312;82.903;8152.7443;0.8128;14906.9991;106.6347;960008.000;89.000;1;8228.307654458044;-75.56335445804325
26;64;38;102;Sr;-52159.311;67.068;8291.2213;0.6575;9013.3301;67.1916;944004.679;72.000;-1;8387.0169442698;-95.79564426980141
24;63;39;102;Y;-61172.641;4.081;8371.9172;0.0400;10408.7856;9.6618;934328.471;4.381;1;8481.628359531089;-109.71115953108892
22;62;40;102;Zr;-71581.427;8.758;8466.294;0.0859;4716.8380;9.0530;923154.181;9.401;-1;8599.119566762209;-132.82556676220884
20;61;41;102;Nb;-76298.265;2.511;8504.8675;0.0246;7262.6008;8.6750;918090.447;2.695;1;8652.512899442858;-147.64539944285752
18;60;42;102;Mo;-83560.866;8.305;8568.3994;0.0814;1012.0557;12.3682;910293.725;8.916;-1;8728.786024093342;-160.3866240933421
16;59;43;102;Tc;-84572.921;9.166;8570.6514;0.0899;4533.5134;9.1646;909207.239;9.840;1;8740.961274193352;-170.3098741933518
14;58;44;102;Ru;-89106.435;0.416;8607.4275;0.0041;-2323.1187;6.3960;904340.312;0.446;-1;8776.016316263202;-168.5888162632018
12;57;45;102;Rh;-86783.316;6.410;8576.9818;0.0628;1119.6470;6.3962;906834.282;6.880;1;8746.973483782576;-169.99168378257673
10;56;46;102;Pd;-87902.963;0.419;8580.2887;0.0041;-5656.2615;8.1816;905632.292;0.449;-1;8740.810443271785;-160.52174327178545
8;55;47;102;Ag;-82246.702;8.171;8517.165;0.0801;-2587.0000;8.0000;911704.538;8.771;1;8670.549528210524;-153.38452821052306
6;54;48;102;Cd;-79659.702;1.662;8484.1322;0.0163;-8964.8059;4.8654;914481.797;1.784;-1;8623.168405119093;-139.0362051190932
4;53;49;102;In;-70694.896;4.573;8388.5719;0.0448;-5760.0000;100.0000;924105.911;4.909;1;8511.689407477195;-123.11750747719452
2;52;50;102;Sn;-64934.896;100.105;8324.4313;0.9814;-13835;412;930289.525;107.466;-1;8423.090201805131;-98.65890180513088
0;51;51;102;Sb;-51100;400;8181.0;4;*;;945142;429;1;8270.393121582592;-89.39312158259236
29;66;37;103;Rb;-33160;400;8112.0;4;14120;447;964401;429;0;8185.5318825413215;-73.53188254132147
27;65;38;103;Sr;-47280;200;8242.0;2;11177;201;949243;215;0;8327.932784793158;-85.93278479315813
25;64;39;103;Y;-58457.034;11.206;8342.6336;0.1088;9351.9600;14.5130;937243.796;12.029;0;8450.10515447074;-107.47155447074147
23;63;40;103;Zr;-67808.993;9.223;8425.8337;0.0895;7219.6740;10.0270;927204.054;9.900;0;8552.048991574069;-126.21529157406985
21;62;41;103;Nb;-75028.667;3.935;8488.332;0.0382;5925.6639;10.0270;919453.416;4.224;0;8633.76429610314;-145.43229610313938
19;61;42;103;Mo;-80954.331;9.223;8538.2672;0.0895;3649.5889;13.4648;913091.954;9.900;0;8695.251068057958;-156.9838680579578
17;60;43;103;Tc;-84603.920;9.810;8566.1045;0.0952;2663.2474;9.8086;909173.960;10.531;0;8736.50930743852;-170.40480743852095
15;59;44;103;Ru;-87267.168;0.441;8584.3656;0.0043;764.5378;2.2598;906314.846;0.473;0;8757.539014244829;-173.17341424482947
13;58;45;103;Rh;-88031.705;2.301;8584.1927;0.0223;-574.7252;2.3928;905494.081;2.470;0;8758.340188476881;-174.14748847688134
11;57;46;103;Pd;-87456.980;0.878;8571.0173;0.0085;-2654.2778;4.1916;906111.074;0.942;0;8738.912830134677;-167.89553013467776
9;56;47;103;Ag;-84802.702;4.099;8537.652;0.0398;-4151.0761;4.4806;908960.558;4.400;0;8699.256939218218;-161.60493921821762
7;55;48;103;Cd;-80651.626;1.811;8489.7547;0.0176;-6019.2293;9.1242;913416.922;1.943;0;8639.372515727504;-149.61781572750442
5;54;49;103;In;-74632.397;8.980;8423.7199;0.0872;-7540;100;919878.830;9.640;0;8559.259559662536;-135.539659662536
3;53;50;103;Sn;-67092;100;8343.0;1;-10422;316;927973;108;0;8458.91807102331;-115.9180710233104
1;52;51;103;Sb;-56670;300;8234.0;3;*;;939162;322;0;8338.348049809832;-104.34804980983245
30;67;37;104;Rb;-27450;500;8057.0;5;16310;583;970531;537;1;8120.122807018804;-63.12280701880445
28;66;38;104;Sr;-43760;300;8206.0;3;10320;361;953022;322;-1;8288.848644768486;-82.84864476848634
26;65;39;104;Y;-54080;200;8298.0;2;11638;200;941943;215;1;8395.475362747997;-97.47536274799677
24;64;40;104;Zr;-65717.660;9.316;8402.3159;0.0896;6093.3367;9.4851;929449.193;10.000;-1;8524.48375763225;-122.16785763225016
22;63;41;104;Nb;-71810.997;1.784;8453.3832;0.0172;8532.7512;9.0879;922907.728;1.915;1;8591.393032746335;-138.00983274633472
20;62;42;104;Mo;-80343.748;8.911;8527.9063;0.0857;2155.2212;24.1665;913747.443;9.566;-1;8680.683984765164;-152.77768476516394
18;61;43;104;Tc;-82498.969;24.886;8541.107;0.2393;5596.7945;24.9370;911433.718;26.716;1;8707.875817013823;-166.76881701382263
16;60;44;104;Ru;-88095.763;2.498;8587.3998;0.0240;-1136.4195;3.3643;905425.312;2.682;-1;8757.449326167223;-170.04952616722403
14;59;45;104;Rh;-86959.344;2.303;8568.9501;0.0221;2435.7789;2.6595;906645.309;2.471;1;8744.923715550458;-175.9736155504579
12;58;46;104;Pd;-89395.123;1.336;8584.8485;0.0129;-4278.6529;4.0000;904030.393;1.434;-1;8754.779781838435;-169.9312818384351
10;57;47;104;Ag;-85116.470;4.217;8536.185;0.0406;-1148.0787;4.5370;908623.715;4.527;1;8702.536728356243;-166.35172835624326
8;56;48;104;Cd;-83968.391;1.673;8517.6232;0.0161;-7785.7166;6.0127;909856.228;1.795;-1;8672.675351778791;-155.05215177879109
6;55;49;104;In;-76182.675;5.775;8435.238;0.0555;-4555.6174;8.1461;918214.538;6.200;1;8580.714855431172;-145.47685543117223
4;54;50;104;Sn;-71627.057;5.745;8383.9114;0.0552;-12332;102;923105.195;6.167;-1;8511.136035988296;-127.22463598829563
2;53;51;104;Sb;-59295;101;8258.0;1;-9668;333;936344;109;1;8379.45809677525;-121.45809677524994
0;52;52;104;Te;-49626.831;317.609;8157.3256;3.0539;*;;946723.408;340.967;-1;8270.16183446695;-112.83623446694946
29;67;38;105;Sr;-38190;500;8152.0;5;12380;640;959001;537;0;8227.320466079917;-75.32046607991651
27;66;39;105;Y;-50570;400;8262.0;4;10888;400;945711;429;0;8360.410509933059;-98.41050993305907
25;65;40;105;Zr;-61458.274;12.110;8358.598;0.1153;8457.2728;12.7625;934021.832;13.000;0;8474.001346514608;-115.40334651460762
23;64;41;105;Nb;-69915.547;4.028;8431.6925;0.0384;7415.2411;9.9106;924942.577;4.324;0;8568.092975824558;-136.40047582455918
21;63;42;105;Mo;-77330.788;9.055;8494.863;0.0862;4955.5157;35.0307;916981.989;9.721;0;8642.685397862919;-147.8223978629194
19;62;43;105;Tc;-82286.303;35.263;8534.6074;0.3358;3648.2396;35.2787;911662.024;37.856;0;8697.778612629681;-163.17121262968067
17;61;44;105;Ru;-85934.543;2.499;8561.9016;0.0238;1916.7271;2.8508;907745.478;2.683;0;8733.372620124852;-171.47102012485266
15;60;45;105;Rh;-87851.270;2.502;8572.7053;0.0238;566.6347;2.3459;905687.787;2.685;0;8749.467420348426;-176.76212034842683
13;59;46;105;Pd;-88417.905;1.138;8570.6509;0.0108;-1347.0564;4.6695;905079.479;1.222;0;8746.063013300409;-175.41211330040824
11;58;47;105;Ag;-87070.848;4.544;8550.3708;0.0433;-2736.9989;4.3618;906525.604;4.877;0;8723.159398980795;-172.78859898079463
9;57;48;105;Cd;-84333.849;1.392;8516.8532;0.0133;-4693.2673;10.3405;909463.893;1.494;0;8680.75657738959;-163.90337738958988
7;56;49;105;In;-79640.582;10.246;8464.7045;0.0976;-6302.5807;10.9891;914502.322;11.000;0;8618.854548526786;-154.15004852678612
5;55;50;105;Sn;-73338.001;3.971;8397.229;0.0378;-9322.5103;22.1849;921268.421;4.263;0;8537.45331239239;-140.22431239239086
3;54;51;105;Sb;-64015.491;21.827;8300.9923;0.2079;-11203.9825;300.8126;931276.547;23.431;0;8436.5528689864;-135.56056898640054
1;53;52;105;Te;-52811.509;300.020;8186.8368;2.8573;*;;943304.516;322.084;0;8316.153218308815;-129.31641830881472
30;68;38;106;Sr;-34300;600;8114.0;6;11490;781;963177;644;-1;8185.393018239356;-71.39301823935602
28;67;39;106;Y;-45790;500;8215.0;5;12959;539;950842;537;1;8303.079516530282;-88.07951653028249
26;66;40;106;Zr;-58749;200;8330.0;2;7453;200;936930;215;-1;8442.666978969677;-112.66697896967707
24;65;41;106;Nb;-66202.678;1.416;8393.2657;0.0134;9925.3249;9.2388;928928.505;1.520;1;8522.054260965833;-128.7885609658333
22;64;42;106;Mo;-76128.003;9.130;8479.5202;0.0861;3648.2494;15.2778;918273.231;9.801;-1;8623.342507110456;-143.82230711045486
20;63;43;106;Tc;-79776.253;12.250;8506.557;0.1156;6547.0000;11.0000;914356.674;13.150;1;8664.43057281184;-157.87357281183904
18;62;44;106;Ru;-86323.253;5.391;8560.9406;0.0509;39.4038;0.2121;907328.181;5.787;-1;8727.419602661692;-166.479002661692
16;61;45;106;Rh;-86362.656;5.390;8553.9317;0.0508;3544.8865;5.3348;907285.879;5.786;1;8730.208452068304;-176.27675206830463
14;60;46;106;Pd;-89907.543;1.106;8579.9934;0.0104;-2965.1434;2.8172;903480.287;1.186;-1;8754.898265623386;-174.90486562338629
12;59;47;106;Ag;-86942.399;3.016;8544.6397;0.0285;189.7534;2.8190;906663.499;3.237;1;8719.387898735224;-174.74819873522392
10;58;48;106;Cd;-87132.153;1.104;8539.0492;0.0104;-6524.0031;12.1765;906459.791;1.184;-1;8705.778495995532;-166.72929599553208
8;57;49;106;In;-80608.150;12.226;8470.1213;0.1153;-3254.4521;13.2439;913463.596;13.125;1;8631.968912812601;-161.84761281260035
6;56;50;106;Sn;-77353.698;5.091;8432.0383;0.0480;-10880.3964;9.0249;916957.394;5.465;-1;8580.060293778137;-148.02199377813668
4;55;51;106;Sb;-66473.301;7.452;8322.0124;0.0703;-8253.5423;100.8163;928637.979;8.000;1;8467.951494300434;-145.9390943004346
2;54;52;106;Te;-58219.759;100.541;8236.7682;0.9485;-14920;412;937498.521;107.934;-1;8377.7436589712;-140.97545897119926
0;53;53;106;I;-43300;400;8089.0;4;*;;953516;429;1;8227.335643198725;-138.33564319872494
31;69;38;107;Sr;-28250;700;8057.0;7;13720;860;969672;751;0;8121.8139053304;-64.8139053304003
29;68;39;107;Y;-41970;500;8178.0;5;12050;583;954943;537;0;8264.935575254523;-86.93557525452343
27;67;40;107;Zr;-54020;300;8284.0;3;9704;300;942007;322;0;8389.247685446124;-105.2476854461238
25;66;41;107;Nb;-63723.805;8.023;8367.0898;0.0750;8821.1703;12.2239;931589.685;8.612;0;8494.750235905205;-127.6604359052053
23;65;42;107;Mo;-72544.975;9.223;8442.219;0.0862;6204.9921;12.6599;922119.770;9.901;0;8581.443226631765;-139.22422663176621
21;64;43;107;Tc;-78749.967;8.673;8492.8979;0.0811;5112.5985;11.7243;915458.437;9.310;0;8649.326657625805;-156.4287576258048
19;63;44;107;Ru;-83862.565;8.673;8533.3676;0.0811;3001.1457;14.8473;909969.837;9.310;0;8698.400528887325;-165.0329288873254
17;62;45;107;Rh;-86863.711;12.051;8554.104;0.1126;1508.9427;12.1108;906747.975;12.937;0;8728.664840416322;-174.56084041632312
15;61;46;107;Pd;-88372.654;1.201;8560.8946;0.0112;34.0458;2.3174;905128.058;1.289;0;8740.119592212799;-179.2249922127994
13;60;47;107;Ag;-88406.700;2.382;8553.9012;0.0223;-1416.3741;2.5654;905091.509;2.556;0;8732.764784276756;-178.86358427675623
11;59;48;107;Cd;-86990.325;1.660;8533.3524;0.0155;-3423.6586;9.5800;906612.049;1.782;0;8706.600416608193;-173.2480166081932
9;58;49;107;In;-83566.667;9.654;8494.0439;0.0902;-5054.4281;11.0175;910287.497;10.363;0;8661.626489207107;-167.58258920710614
7;57;50;107;Sn;-78512.239;5.310;8439.4946;0.0496;-7858.9903;6.7377;915713.649;5.700;0;8597.843002073503;-158.34840207350317
5;56;51;107;Sb;-70653.248;4.148;8358.7344;0.0388;-9996;101;924150.621;4.452;0;8515.249955207377;-156.51555520737747
3;55;52;107;Te;-60657;101;8258.0;1;-11227;316;934882;108;0;8413.847348608731;-155.8473486087314
1;54;53;107;I;-49430;300;8146.0;3;*;;946935;322;0;8293.635182277563;-147.63518227756322
30;69;39;108;Y;-36780;600;8129.0;6;14170;721;960515;644;1;8205.310754360156;-76.31075436015635
28;68;40;108;Zr;-50950;400;8253.0;4;8595;400;945303;429;-1;8354.618583988922;-101.61858398892218
26;67;41;108;Nb;-59545.198;8.239;8325.6604;0.0763;11204.0998;12.3668;936075.604;8.844;1;8445.532125104311;-119.87172510431083
24;66;42;108;Mo;-70749.297;9.223;8422.1581;0.0854;5173.5330;12.7262;924047.508;9.901;-1;8557.882526038718;-135.72442603871787
22;65;43;108;Tc;-75922.831;8.769;8462.8172;0.0812;7738.5736;11.7903;918493.493;9.413;1;8611.838638459749;-149.02143845974933
20;64;44;108;Ru;-83661.404;8.680;8527.2267;0.0804;1369.7517;16.4699;910185.793;9.318;-1;8687.231610699797;-160.00491069979762
18;63;45;108;Rh;-85031.156;13.997;8532.6657;0.1296;4493.0596;14.0405;908715.304;15.026;1;8704.230294426467;-171.564594426467
16;62;46;108;Pd;-89524.215;1.108;8567.0241;0.0103;-1917.4238;2.6323;903891.806;1.189;-1;8742.665837972154;-175.64173797215335
14;61;47;108;Ag;-87606.792;2.388;8542.0262;0.0221;1645.6311;2.6386;905950.245;2.563;1;8722.707093004468;-180.6808930044681
12;60;48;108;Cd;-89252.423;1.123;8550.0196;0.0104;-5132.5944;8.5845;904183.588;1.205;-1;8724.185207855797;-174.16560785579713
10;59;49;108;In;-84119.828;8.641;8495.2516;0.0800;-2049.8794;9.8365;909693.654;9.276;1;8667.26903419375;-172.0174341937509
8;58;50;108;Sn;-82069.949;5.382;8469.0273;0.0498;-9624.6079;7.6925;911894.290;5.778;-1;8631.78972035072;-162.76242035072028
6;57;51;108;Sb;-72445.341;5.496;8372.6666;0.0509;-6663.6646;7.7125;922226.731;5.900;1;8537.916117994315;-165.24951799431437
4;56;52;108;Te;-65781.676;5.411;8303.7221;0.0501;-13011;101;929380.469;5.808;-1;8465.479375456924;-161.7572754569228
2;55;53;108;I;-52771;101;8176.0;1;-10139;393;943348;109;1;8334.64834440616;-158.6483444061596
0;54;54;108;Xe;-42632.357;379.497;8074.8886;3.5139;*;;954232.285;407.406;-1;8225.254173174411;-150.3655731744111
31;70;39;109;Y;-32480;700;8089.0;6;13250;860;965131;751;0;8164.497391489405;-75.49739148940535
29;69;40;109;Zr;-45730;500;8204.0;5;10960;660;950907;537;0;8298.682306196955;-94.68230619695532
27;68;41;109;Nb;-56689.800;430.816;8297.1307;3.9524;9969.4851;430.9610;939141.000;462.500;0;8414.710480851809;-117.57978085180912
25;67;42;109;Mo;-66659.285;11.179;8381.4163;0.1026;7623.5438;14.7805;928438.318;12.000;0;8512.58191545397;-131.1656154539687
23;66;43;109;Tc;-74282.828;9.669;8444.1796;0.0887;6455.6267;12.6574;920254.107;10.380;0;8592.296610003434;-148.1170100034342
21;65;44;109;Ru;-80738.455;8.954;8496.228;0.0821;4260.7958;9.8229;913323.707;9.612;0;8653.854564500203;-157.62656450020404
19;64;45;109;Rh;-84999.251;4.040;8528.1404;0.0371;2607.2327;4.1874;908749.555;4.336;0;8697.25577894428;-169.11537894427966
17;63;46;109;Pd;-87606.484;1.114;8544.8825;0.0102;1112.9469;1.4024;905950.576;1.195;0;8722.500253335662;-177.6177533356622
15;62;47;109;Ag;-88719.431;1.287;8547.9155;0.0118;-215.1002;1.7795;904755.778;1.381;0;8729.587987674346;-181.67248767434648
13;61;48;109;Cd;-88504.330;1.536;8538.7646;0.0141;-2014.8047;4.0662;904986.697;1.649;0;8718.51898196034;-179.75438196033974
11;60;49;109;In;-86489.526;3.969;8513.1027;0.0364;-3859.3453;8.8866;907149.679;4.261;0;8689.293236193636;-176.19053619363694
9;59;50;109;Sn;-82630.180;7.949;8470.5183;0.0729;-6379.1940;8.8074;911292.857;8.533;0;8641.910750374236;-171.39245037423643
7;58;51;109;Sb;-76250.986;5.265;8404.8161;0.0483;-8535.5871;6.8502;918141.203;5.652;0;8576.371524502145;-171.5554245021449
5;57;52;109;Te;-67715.399;4.382;8319.3305;0.0402;-10042.8941;8.0301;927304.532;4.704;0;8492.675558577357;-173.34505857735712
3;56;53;109;I;-57672.505;6.729;8220.0164;0.0617;-11502.9589;300.1831;938086.022;7.223;0;8390.822852599875;-170.80645259987432
1;55;54;109;Xe;-46169.546;300.108;8107.3071;2.7533;*;;950434.955;322.178;0;8270.813406569698;-163.5063065696977
30;70;40;110;Zr;-42220;500;8171.0;5;10090;976;954675;537;-1;8261.179525455304;-90.17952545530352
28;69;41;110;Nb;-52309.914;838.345;8255.2607;7.6213;12225.9002;838.6945;943843.000;900.000;1;8362.7454716523;-107.48477165229997
26;68;42;110;Mo;-64535.814;24.219;8359.293;0.2202;6498.7491;26.0147;930717.956;26.000;-1;8485.300028954642;-126.00702895464201
24;67;43;110;Tc;-71034.564;9.497;8411.2603;0.0863;9038.0654;12.5086;923741.263;10.195;1;8551.179335547411;-139.9190355474111
22;66;44;110;Ru;-80072.629;8.924;8486.3123;0.0811;2756.0638;19.4044;914038.501;9.580;-1;8638.047253245522;-151.73495324552277
20;65;45;110;Rh;-82828.693;17.805;8504.2551;0.1619;5502.2116;17.7967;911079.745;19.114;1;8668.239920234064;-163.9848202340636
18;64;46;110;Pd;-88330.904;0.612;8547.163;0.0056;-873.5982;1.3777;905172.878;0.657;-1;8719.421198327947;-172.25819832794696
16;63;47;110;Ag;-87457.306;1.286;8532.1089;0.0117;2890.6633;1.2771;906110.724;1.380;1;8713.92722571226;-181.81832571226005
14;62;48;110;Cd;-90347.969;0.380;8551.2755;0.0035;-3878.0000;11.5470;903007.470;0.407;-1;8729.42186420191;-178.14636420190982
12;61;49;110;In;-86469.969;11.553;8508.9087;0.1050;-627.9769;17.9802;907170.674;12.402;1;8688.241251981995;-179.3325519819955
10;60;50;110;Sn;-85841.993;13.777;8496.0875;0.1252;-8392.2480;15.0117;907844.835;14.790;-1;8668.04925086742;-171.96175086742005
8;59;51;110;Sb;-77449.745;5.962;8412.6821;0.0542;-5219.9240;8.8753;916854.283;6.400;1;8591.181999043274;-178.49989904327413
6;58;52;110;Te;-72229.821;6.575;8358.116;0.0598;-11761.9766;62.2875;922458.102;7.058;-1;8535.303358324467;-177.1873583244669
4;57;53;110;I;-60467.844;61.940;8244.0767;0.5631;-8545.2075;118.4700;935085.102;66.494;1;8422.749466896094;-178.6727668960939
2;56;54;110;Xe;-51922.636;100.988;8159.2808;0.9181;*;;944258.759;108.415;-1;8331.184186573058;-171.90338657305801
31;71;40;111;Zr;-36480;600;8118.0;5;12480;671;960837;644;0;8203.09783249183;-85.09783249183056
29;70;41;111;Nb;-48960;300;8223.0;3;10980;300;947439;322;0;8328.838767452276;-105.83876745227644
27;69;42;111;Mo;-59939.813;12.578;8315.2932;0.1133;9084.8620;6.7999;935651.966;13.503;0;8437.041551768883;-121.74835176888337
25;68;43;111;Tc;-69024.675;10.582;8390.0906;0.0953;7760.6500;13.8477;925898.966;11.359;0;8527.706185441648;-137.61558544164836
23;67;44;111;Ru;-76785.325;9.682;8452.9582;0.0872;5518.5456;11.8621;917567.566;10.394;0;8600.832668470572;-147.87446847057254
21;66;45;111;Rh;-82303.871;6.853;8495.6267;0.0617;3682.0153;6.8899;911643.164;7.356;0;8656.421000855653;-160.79430085565218
19;65;46;111;Pd;-85985.886;0.731;8521.7498;0.0066;2229.5607;1.5721;907690.358;0.785;0;8694.471182596892;-172.721382596892
17;64;47;111;Ag;-88215.447;1.459;8534.7878;0.0131;1036.8000;1.4142;905296.827;1.565;0;8714.983213694291;-180.19541369429135
15;63;48;111;Cd;-89252.247;0.357;8537.0801;0.0032;-860.1972;3.4170;904183.776;0.383;0;8717.957094147849;-180.87699414784947
13;62;49;111;In;-88392.050;3.424;8522.2824;0.0308;-2453.4692;6.3368;905107.236;3.675;0;8703.392823957563;-181.1104239575634
11;61;50;111;Sn;-85938.581;5.336;8493.131;0.0481;-5101.8340;10.3337;907741.143;5.728;0;8671.290403123436;-178.15940312343628
9;60;51;111;Sb;-80836.747;8.849;8440.1203;0.0797;-7249.2597;10.9370;913218.187;9.500;0;8621.649831645467;-181.5295316454667
7;59;52;111;Te;-73587.487;6.427;8367.7635;0.0579;-8633.6922;7.9943;921000.587;6.900;0;8554.471109523658;-186.7076095236589
5;58;53;111;I;-64953.795;4.754;8282.9343;0.0428;-10434;116;930269.236;5.103;0;8469.754236758003;-186.81993675800186
3;57;54;111;Xe;-54520;115;8182.0;1;-11620;231;941470;124;0;8367.499213348508;-185.49921334850842
1;56;55;111;Cs;-42900;200;8070.0;2;*;;953945;215;0;8247.706039295175;-177.7060392951753
32;72;40;112;Zr;-32420;700;8081.0;6;11650;761;965196;751;-1;8163.0954848624015;-82.09548486240146
30;71;41;112;Nb;-44070;300;8178.0;3;13410;361;952689;322;1;8274.510499312602;-96.5104993126024
28;70;42;112;Mo;-57480;200;8291.0;2;7779;200;938293;215;-1;8406.481018089142;-115.4810180891418
26;69;43;112;Tc;-65258.932;5.515;8353.6217;0.0492;10371.9409;11.0602;929941.658;5.920;1;8483.414146590172;-129.7924465901724
24;68;44;112;Ru;-75630.873;9.600;8439.2431;0.0857;4100.1790;45.1185;918806.922;10.305;-1;8580.902779417538;-141.65967941753843
22;67;45;112;Rh;-79731.052;44.085;8468.8666;0.3936;6589.9874;43.9269;914405.199;47.327;1;8623.354021969395;-154.48742196939565
20;66;46;112;Pd;-86321.039;6.546;8520.7205;0.0584;262.6897;6.9799;907330.557;7.027;-1;8686.360768847588;-165.64026884758823
18;65;47;112;Ag;-86583.729;2.422;8516.0807;0.0216;3991.1283;2.4348;907048.548;2.600;1;8694.33012545027;-178.24942545026897
16;64;48;112;Cd;-90574.857;0.250;8544.7306;0.0022;-2584.7306;4.2434;902763.896;0.268;-1;8722.854986379287;-178.12438637928608
14;63;49;112;In;-87990.127;4.251;8514.6674;0.0380;664.9224;4.2434;905538.718;4.563;1;8696.342457032797;-181.67505703279676
12;62;50;112;Sn;-88655.049;0.294;8513.6189;0.0026;-7056.0760;17.8317;904824.894;0.315;-1;8690.385432012643;-176.76653201264344
10;61;51;112;Sb;-81598.973;17.829;8443.633;0.1592;-4031.4550;19.7019;912399.903;19.140;1;8629.39101671698;-185.7580167169799
8;60;52;112;Te;-77567.518;8.383;8400.6527;0.0749;-10504.1795;13.2390;916727.848;9.000;-1;8588.95210574765;-188.29940574764987
6;59;53;112;I;-67063.339;10.246;8299.8801;0.0915;-7036.9910;13.1754;928004.548;11.000;1;8493.475804502812;-193.5957045028117
