N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
5;15;10;25;Ne;-2035.503;29.045;7839.7994;1.1618;7322.3107;29.0701;997814.797;31.181;0;7710.620735317993;129.17866468200646
3;14;11;25;Na;-9357.814;1.200;8101.3979;0.0480;3834.9684;1.2009;989953.974;1.288;0;8114.938602350481;-13.540702350481297
1;13;12;25;Mg;-13192.782;0.047;8223.5028;0.0019;-4276.8080;0.0447;985836.966;0.050;0;8204.239123386064;19.263676613936696
-1;12;13;25;Al;-8915.974;0.065;8021.1366;0.0026;-12743.2956;10.0002;990428.308;0.069;0;7978.522298424739;42.61430157526047
-3;11;14;25;Si;3827.322;10.000;7480.1109;0.4000;-16363;400;004108.798;10.735;0;7437.78812746651;42.322772533490024
-5;10;15;25;P;20190;400;6794.0;16;*;;021675;429;0;6582.0366105113735;211.9633894886265
10;18;8;26;O;34661.041;164.950;6497.479;6.3442;15986.3855;196.6301;037210.155;177.081;-1;5726.910639605827;770.5683603941734
8;17;9;26;F;18674.655;107.027;7082.2497;4.1164;18193.5414;108.6022;020048.065;114.898;1;6647.784820281462;434.4648797185382
6;16;10;26;Ne;481.114;18.429;7751.911;0.7088;7341.8940;18.7585;000516.496;19.784;-1;7614.888658809052;137.02234119094828
4;15;11;26;Na;-6860.780;3.502;8004.2013;0.1347;9353.7631;3.5018;992634.649;3.759;1;7952.375781789317;51.825518210682276
2;14;12;26;Mg;-16214.544;0.029;8333.8711;0.0011;-4004.4042;0.0629;982592.972;0.031;-1;8336.092562621541;-2.2214626215409226
0;13;13;26;Al;-12210.139;0.066;8149.7653;0.0026;-5069.1361;0.0849;986891.876;0.071;1;8090.192627906438;59.57267209356178
-2;12;14;26;Si;-7141.003;0.108;7924.7083;0.0041;-18114;196;992333.818;0.115;-1;7890.5223510432925;34.18594895670776
-4;11;15;26;P;10973;196;7198.0;8;-16707;631;011780;210;1;7061.235358632822;136.76464136717823
-6;10;16;26;S;27680;600;6525.0;23;*;;029716;644;-1;6278.178024074307;246.82197592569264
11;19;8;27;O;44670;500;6185.0;19;19536;514;047955;537;0;5327.764060356656;857.235939643344
9;18;9;27;F;25133.478;120.198;6879.6662;4.4518;18082.5680;150.6211;026981.897;129.037;0;6462.222222222225;417.4439777777743
7;17;10;27;Ne;7050.910;90.770;7520.4151;3.3619;12568.7005;90.8467;007569.462;97.445;0;7325.788751714681;194.62634828531918
5;16;11;27;Na;-5517.791;3.726;7956.9467;0.1380;9068.8037;3.7266;994076.408;4.000;0;7918.463648834023;38.483051165977486
3;15;12;27;Mg;-14586.594;0.047;8263.8525;0.0018;2610.2694;0.0669;984340.647;0.050;0;8240.246913580251;23.60558641974967
1;14;13;27;Al;-17196.864;0.047;8331.5533;0.0018;-4812.3583;0.0964;981538.408;0.050;0;8291.138545953365;40.4147540466347
-1;13;14;27;Si;-12384.505;0.107;8124.342;0.0040;-11725.4730;9.0013;986704.687;0.115;0;8071.138545953364;53.20345404663567
-3;12;15;27;P;-659.032;9.001;7661.0894;0.3334;-18150;400;999292.499;9.662;0;7580.24691358025;80.84248641974955
-5;11;16;27;S;17491;400;6960.0;15;*;;018777;430;0;6818.463648834023;141.53635116597707
12;20;8;28;O;52080;699;5988.0;25;18676;709;055910;750;-1;5091.071504226091;896.9284957739092
10;19;9;28;F;33403.796;120.347;6626.8567;4.2981;22104.0579;174.2886;035860.448;129.198;1;6109.9645538058285;516.8921461941718
8;18;10;28;Ne;11299.738;126.068;7388.3463;4.5024;12288.0534;126.4833;012130.767;135.339;-1;7178.969549380914;209.37675061908612
6;17;11;28;Na;-988.315;10.246;7799.2644;0.3659;14031.6303;10.2498;998939.000;11.000;1;7693.343334136586;105.92106586341379
4;16;12;28;Mg;-15019.946;0.261;8272.4531;0.0093;1830.7740;0.2653;983875.426;0.280;-1;8257.829064887606;14.624035112394267
2;15;13;28;Al;-16850.719;0.049;8309.8969;0.0018;4642.0776;0.0486;981910.009;0.052;1;8267.68358481921;42.21331518079023
0;14;14;28;Si;-21492.79711;0.00051;8447.7445;0.0002;-14344.9407;1.1473;976926.53442;0.00055;-1;8327.65005074616;120.09444925384014
-2;13;15;28;P;-7147.856;1.147;7907.4842;0.0410;-11221.0593;160.0041;992326.460;1.231;1;7832.985305853698;74.49889414630161
-4;12;16;28;S;4073.203;160.000;7478.7911;5.7143;-24197;525;004372.762;171.767;-1;7388.432506956583;90.35859304341739
-6;11;17;28;Cl;28270;500;6587.0;18;*;;030349;537;1;6389.248497240054;197.75150275994565
11;20;9;29;F;40150.190;525.363;6444.0314;18.1160;21750.3873;546.2212;043103.000;564.000;0;5905.63308382221;538.3983161777896
9;19;10;29;Ne;18399.803;149.505;7167.0673;5.1553;15719.8092;149.6847;019753.000;160.500;0;6868.336176932199;298.7311230678006
7;18;11;29;Na;2679.994;7.337;7682.1522;0.2530;13292.3538;7.3447;002877.091;7.876;0;7595.534332474819;86.61786752518128
5;17;12;29;Mg;-10612.360;0.345;8113.5317;0.0119;7595.4023;0.4873;988607.163;0.369;0;8087.227550450067;26.304149549932845
3;16;13;29;Al;-18207.762;0.345;8348.4647;0.0119;3687.3192;0.3447;980453.164;0.370;0;8343.415830857946;5.048869142054173
1;15;14;29;Si;-21895.08154;0.00056;8448.6361;0.0002;-4942.2325;0.3589;976494.66434;0.00060;0;8364.099173698452;84.53692630154728
-1;14;15;29;P;-16952.849;0.359;8251.2368;0.0124;-13858.4257;13.0459;981800.368;0.385;0;8149.277578971594;101.95922102840632
-3;13;16;29;S;-3094.423;13.041;7746.3826;0.4497;-17117;189;996678.000;14.000;0;7698.951046677364;47.43155332263632
-5;12;17;29;Cl;14022;189;7129.0;7;-23947;478;015053;203;0;7013.119576815763;115.88042318423686
-7;11;18;29;Ar;37969;439;6276.0;15;*;;040761;471;0;6091.783169386794;184.21683061320618
12;21;9;30;F;48960;500;6205.0;17;25680;561;052561;537;1;5556.853030071494;648.1469699285062
10;20;10;30;Ne;23280.120;253.250;7034.5317;8.4417;14805.4501;253.2946;024992.235;271.875;-1;6692.872456795508;341.65924320449176
8;19;11;30;Na;8474.670;4.727;7501.9685;0.1576;17356.0423;4.9011;009097.931;5.074;1;7335.865032809398;166.1034671906018
6;18;12;30;Mg;-8881.373;1.295;8054.425;0.0432;6982.7440;2.3287;990465.454;1.390;-1;8031.118993140534;23.306006859465924
4;17;13;30;Al;-15864.116;1.936;8261.1049;0.0645;8568.8459;1.9357;982969.171;2.077;1;8233.34610276155;27.758797238449915
2;16;14;30;Si;-24432.962;0.022;8520.6549;0.0008;-4232.1065;0.0615;973770.137;0.023;-1;8487.83459669981;32.82030330019006
