N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
-1;11;12;23;Mg;-5473.513;0.158;7901.115;0.007;-12221.583;0.379;22;994123.941;0.170;0;7868.231162256092;32.88383774390786
-3;10;13;23;Al;6748.070;0.345;7335.727;0.015;-16949;503;23;007244.351;0.370;0;7265.12140784213;70.60559215786998
-5;9;14;23;Si;23697;503;6565.0;22;*;;23;025440;540;0;6290.980264379398;274.01973562060175
8;16;8;24;O;18500.402;164.874;7039.685;6.870;10955.887;191.633;24;019861.000;177.000;-1;6363.0665749269265;676.6184250730739
6;15;9;24;F;7544.515;97.670;7463.582;4.070;13496.161;97.672;24;008099.370;104.853;1;7138.255285942108;325.3267140578928
4;14;10;24;Ne;-5951.646;0.513;7993.325;0.021;2466.255;0.513;23;993610.645;0.550;-1;7953.186077456696;40.138922543304034
2;13;11;24;Na;-8417.901;0.017;8063.488;0.001;5515.669;0.021;23;990963.011;0.017;1;8045.795473938146;17.69252606185455
0;12;12;24;Mg;-13933.569;0.013;8260.709;0.001;-13884.704;0.233;23;985041.697;0.014;-1;8178.146950919006;82.56204908099517
-2;11;13;24;Al;-48.865;0.233;7649.582;0.010;-10794.060;19.473;23;999947.541;0.250;1;7588.177032866727;61.4049671332732
-4;10;14;24;Si;10745.195;19.472;7167.232;0.811;-22574;503;24;011535.441;20.904;-1;7037.949195313857;129.2828046861432
-6;9;15;24;P;33320;503;6194.0;21;*;;24;035770;540;1;5765.399962727849;428.600037272151
9;17;8;25;O;27329.027;165.084;6727.805;6.603;15994.862;191.191;25;029338.919;177.225;0;5956.9329632623;770.8720367377
7;16;9;25;F;11334.166;96.442;7336.306;3.858;13369.667;100.721;25;012167.727;103.535;0;6991.285522288599;345.0204777114004
5;15;10;25;Ne;-2035.502;29.045;7839.799;1.162;7322.312;29.070;24;997814.799;31.181;0;7710.620735317993;129.17826468200656
3;14;11;25;Na;-9357.813;1.200;8101.397;0.048;3834.969;1.201;24;989953.973;1.288;0;8114.938602350481;-13.541602350481298
1;13;12;25;Mg;-13192.783;0.047;8223.502;0.002;-4276.808;0.045;24;985836.964;0.050;0;8204.239123386064;19.262876613936896
-1;12;13;25;Al;-8915.975;0.065;8021.136;0.003;-12743.299;10.000;24;990428.306;0.069;0;7978.522298424739;42.613701575261075
-3;11;14;25;Si;3827.324;10.000;7480.11;0.400;-15911;401;25;004108.801;10.735;0;7437.78812746651;42.32187253349002
