N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass;M_N_ws4;WS4_diff;bind_ene_n+2_exp;bind_ene_n-2_exp;delta_2n_exp;bind_ene_p+2_exp;bind_ene_p-2_exp;delta_2p_exp;bind_ene_n+2_teo;bind_ene_n-2_teo;delta_2n_teo;bind_ene_p+2_teo;bind_ene_p-2_teo;delta_2p_teo
34;93;59;152;Pr;-63758.063;18.537;8.187104;0.122;6391.344;30.71;151;141523.34569537325;0.018536732664028;1;-1;1244.439808;8.182896254432825;1243.8002306737894;0.0042077455671751;0.6395773262104285;141523.98542053904;141523.34584321282;-0.0001478395715821;-63758.07006674664;0.007066746635246;8.187104972628731;-9.726287313327475e-07;0.251147965655723;141494.087630414;141493.4479052482;-0.6397251657908782;141493.29247531496;0.15542993324925192;1254.929368;1232.83965;-1.1105980000002091;1263.77174;1222.23375;-2.8741260000001603;1254.276832938634;1232.6212744577565;-0.7023539511883428;1262.8247510992287;1222.3205565804858;-2.4551536678643515
32;92;60;152;Nd;-70149.407;24.485;8.224005;0.161;1104.778;18.501;151;141516.95435011343;0.0244843225162802;-1;1;1250.04876;8.220173760646482;1249.4664116182653;0.0038312393535182;0.5823483817346187;141517.536892992;141516.95454461026;-0.000194496824406;-70149.4153265651;0.0083265650901012;8.224006279584405;-1.2795844046564753e-06;0.2616876023281217;141487.13864355293;141486.55610067435;-0.582542878575623;141486.1355160009;0.4205846734403167;1261.867068;1237.43655;-0.7939019999998891;1266.93259;1230.1683;-2.9966299999998682;1260.8752320596316;1237.330880759127;-0.726710417771983;1266.68440218957;1229.833129815007;-2.415291231953688
30;91;61;152;Pm;-71254.186;25.912;8.226127;0.17;3508.417;25.886;151;141515.8495720246;0.0259113714831792;1;-1;1250.371304;8.226620783189874;1250.4463590448609;-0.0004937831898743;-0.0750550448608464;141515.7745989628;141515.84965400767;-8.198307477869093e-05;-71254.19341539145;0.0074153914465568;8.226127539362336;-5.393623361271693e-07;0.2724968105814297;141484.8761597813;141484.9511328431;0.074973061797209;141484.7509262585;0.20020658458815888;1263.77174;1236.5715;-0.399368000000095;1265.433092;1232.83965;-2.4698660000001382;1262.8247510992287;1237.316058468726;-0.7519085217670636;1265.89517319851;1232.6212744577565;-2.376270433455147
28;90;62;152;Sm;-74762.603;1.212;8.244061;0.008;-1874.348;0.687;151;141512.3411544411;0.0012118738289397;-1;1;1253.097272;8.24567168067229;1253.342095462188;-0.0016106806722895;-0.2448234621881511;141512.0965159429;141512.34133940507;-0.0001849639811553;-74762.61099891043;0.007998910426977;8.244062216868386;-1.2168683856117468e-06;0.2835789870608625;141480.69815998717;141480.94279848537;0.2446384982031304;141480.9373094843;0.005489001079695299;1266.93259;1239.24315;-0.018804000000045562;1266.6185839999998;1237.43655;-2.1394100000002254;1266.68440218957;1239.2226978369465;-0.7770908978593525;1267.016076258194;1237.330880759127;-2.337233907054724
26;89;63;152;Eu;-72888.255;1.326;8.226583;0.009;1818.661;0.702;151;141514.21550221913;0.0013255161095935;1;-1;1250.440616;8.23389209448444;1251.551598361635;-0.0073090944844409;-1.110982361635024;141513.10466644086;141514.2156488025;-0.0001465833629481;-72888.26322088318;0.0082208831736352;8.226583964364277;-9.643642773227157e-07;0.2949375864193932;141481.2066701338;141482.31750591207;1.110835778265027;141481.92026913294;0.39723677912843414;1265.433092;1236.2019;0.7537599999998292;1262.2865639999998;1236.5715;-2.023168000000396;1265.89517319851;1236.4049086133944;-0.8031149113653555;1263.488099236478;1237.316058468726;-2.2990390180657414
24;88;64;152;Gd;-74706.916;1.206;8.233401;0.008;-3990.000;40.0;151;141512.3968410216;0.0012053533702136;-1;1;1251.476952;8.234716383235615;1251.6768902518131;-0.0013153832356138;-0.1999382518133643;141512.1970279481;141512.3969661999;-0.0001251783105544;-74706.92441840752;0.0084184075240045;8.233401823541499;-8.235414981072608e-07;0.3065761233373353;141479.7996712273;141479.9994843008;0.1998130735009908;141479.87330871916;0.1261755816231016;1266.6185839999998;1236.39135;0.056029999999964275;1261.741866;1239.24315;-1.968887999999879;1267.016076258194;1235.508581048464;-0.8291231969681121;1261.870254265505;1239.2226978369465;-2.260828401174649
22;87;65;152;Tb;-70716.916;40.018;8.202004;0.263;-599.044;40.258;151;141516.38684105672;0.0400179181899149;1;-1;1246.704608;8.204710188316522;1247.1159486241113;-0.0027061883165213;-0.4113406241112898;141515.9756229732;141516.38696359732;-0.0001225406012963;-70716.92438328982;0.0083832898235414;8.202004806188166;-8.061881651144631e-07;0.3184981745348841;141483.0791893529;141483.49040743642;0.4112180835218169;141483.1993318197;0.29107561672572047;1262.2865639999998;1230.9507;-0.17195200000014665;1255.2048739999998;1236.2019;-2.002442000000201;1263.488099236478;1229.887824891762;-0.8559731199825364;1255.603529213132;1236.4049086133944;-2.223459421696134
20;86;66;152;Dy;-70117.873;4.624;8.192915999999999;0.03;-6513.102;13.325;151;141516.98588491484;0.0046230052367623;-1;1;1245.3232319999995;8.187307868336454;1244.470795987141;0.0056081316635445;0.8524360128587887;141517.83842900762;141516.98599299477;-0.0001080799265764;-70117.88052514322;0.0075251432135701;8.192916711052117;-7.110521185182961e-07;0.3307073807784352;141484.44320564286;141483.5906615501;-0.8525440927769523;141483.81974207525;-0.22908052516868338;1261.741866;1228.37235;-0.5322479999988445;1252.388368;1236.39135;-1.8667459999990115;1261.870254265505;1226.1885303936813;-0.8828073150955333;1251.2469362115028;1235.508581048464;-2.1860747143150547
18;85;67;152;Ho;-63604.771;12.529;8.144919;0.082;-3104.394;9.815;151;141523.49898670043;0.0125285956950339;1;-1;1238.027688;8.139075064686118;1237.13940983229;0.0058439353138819;0.8882781677100411;141524.3874685599;141523.49919039218;-0.0002036917430814;-63604.77873956263;0.0077395626285579;8.14492034007727;-1.3400772704841302e-06;0.3432074488814326;141490.49374631257;141489.6052644531;-0.8884818594669923;141489.48224319264;0.12302126045688055;1255.2048739999998;1220.2262999999998;-0.6242020000001958;1243.428032;1230.9507;-1.6766439999996692;1255.603529213132;1217.7648073038283;-0.9104831476197432;1242.2414631284726;1229.887824891762;-2.149531644345643
16;84;68;152;Er;-60500.377;8.83;8.119349;0.058;-8780.104;54.743;151;141526.6033808259;0.0088296326091618;-1;1;1234.141048;8.103446135974806;1231.7238126681705;0.0159028640251932;2.417235331829488;141529.0207191214;141526.6034837896;-0.0001029637060128;-60500.38461411695;0.0076141169483889;8.119349677392739;-6.773927392345058e-07;0.3560021537004473;141494.6287926282;141492.2114543327;-2.417338295519585;141491.9746389468;0.23681538589880802;1252.388368;1215.32925;-0.5644780000000083;1238.1506060000002;1228.37235;-1.759139999999661;1251.2469362115028;1211.2625458725972;-0.9381432522409341;1235.146122096187;1226.1885303936813;-2.1129728464727577
