N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene;Delta_2n;Delta_2p
19;90;71;161;Lu;-52562.349;27.945;8.0527821;0.1736;-6246.5319;36.4805;943572.000;30.000;0;8.314377466916039;-0.2615953669160387;-0.0042784999999980755;-0.010918799999998896
17;89;72;161;Hf;-46315.817;23.450;8.0091245;0.1457;-7537.2421;33.7278;950277.927;25.174;0;8.271062430213599;-0.26193793021359824;-0.003680800000001483;-0.009901900000000907
15;88;73;161;Ta;-38778.575;24.381;7.95745;0.1514;-8272;202;958369.489;26.174;0;8.219080085088354;-0.2616300850883544;-0.004283699999998447;-0.009433599999998599
13;87;74;161;W;-30507;200;7.901;1;-9664;250;967249;215;0;8.15843043154031;-0.2574304315403104;-0.00469570000000008;-0.008438999999999197
11;86;75;161;Re;-20842.820;149.905;7.8363292;0.9311;-10647;427;977624.313;160.930;0;8.08911346956946;-0.2527842695694602;-0.006792899999999769;-0.00993259999999907
9;85;76;161;Os;-10196;400;7.765;2;*;;989054;429;0;8.011129199175812;-0.24612919917581255;;
42;102;60;162;Nd;-39010;400;8.022;2;7030;500;958121;429;-1;8.198616778618632;-0.1766167786186319;;
40;101;61;162;Pm;-46040;300;8.061;2;8339;300;950574;322;1;8.242301710601375;-0.18130171060137457;-0.004360200000000702;-0.017631399999999076
38;100;62;162;Sm;-54379.053;3.523;8.1075745;0.0218;4343.8905;3.7605;941621.687;3.782;-1;8.299147136892604;-0.1915726368926034;-0.0027527999999996666;-0.01518500000000067
36;99;63;162;Eu;-58722.944;1.314;8.1295593;0.0081;5557.7761;4.1748;936958.329;1.410;1;8.325698484382366;-0.19613918438236588;-0.003647000000000844;-0.015548400000000129
34;98;64;162;Gd;-64280.720;3.963;8.1590373;0.0245;1598.8278;4.4611;930991.812;4.254;-1;8.365410326180614;-0.20637302618061426;-0.005059699999998557;-0.014745799999998255
32;97;65;162;Tb;-65879.548;2.049;8.1640773;0.0127;2301.6217;2.1640;929275.400;2.200;1;8.3748280891774;-0.21075078917739987;-0.01075660000000056;-0.02012820000000204
30;96;66;162;Dy;-68181.169;0.695;8.1734555;0.0043;-2140.6068;3.0926;926804.507;0.746;-1;8.39740634648267;-0.22395084648267094;-0.004145499999998137;-0.014874799999997634
28;95;67;162;Ho;-66040.563;3.102;8.1554126;0.0192;293.6478;3.1069;929102.543;3.330;1;8.389690524986477;-0.23427792498647726;-0.004301399999999234;-0.013704199999999389
26;94;68;162;Er;-66334.210;0.756;8.1523959;0.0047;-4856.7282;26.0475;928787.299;0.811;-1;8.395135197798767;-0.24273929779876724;-0.004051000000000471;-0.011324300000001841
24;93;69;162;Tm;-61477.482;26.058;8.1175868;0.1609;-1656.3190;30.1127;934001.211;27.974;1;8.370285791809595;-0.252698991809595;-0.004707799999998485;-0.010768899999998638
22;92;70;162;Yb;-59821.163;15.103;8.1025333;0.0932;-6989.4042;76.5406;935779.342;16.213;-1;8.358596880128909;-0.2560635801289095;-0.0030903000000002123;-0.009530699999999115
20;91;71;162;Lu;-52831.759;75.036;8.0545596;0.4632;-3663.3333;75.5679;943282.776;80.554;1;8.316613889646757;-0.26205428964675725;-0.004976199999997988;-0.011308999999998015
18;90;72;162;Hf;-49168.426;8.952;8.0271171;0.0553;-9387.0211;63.8938;947215.526;9.610;-1;8.28779139347309;-0.26067429347308924;-0.004040899999999681;-0.010221300000000433
16;89;73;162;Ta;-39781.405;63.322;7.9643432;0.3909;-5782.1880;63.3235;957292.907;67.979;1;8.228674818497959;-0.26433161849795894;-0.003418199999999594;-0.009295399999999177
14;88;74;162;W;-33999.217;17.657;7.9238214;0.1090;-11546;201;963500.341;18.955;-1;8.182718737831314;-0.2588973378313142;-0.003401999999998573;-0.007955699999999233
12;87;75;162;Re;-22453;201;7.848;1;-7953;361;975896;215;1;8.106468578363206;-0.2584685783632059;-0.004947699999999777;-0.007729599999999337
10;86;76;162;Os;-14500;300;7.794;2;*;;984434;322;-1;8.043378913203581;-0.2493789132035813;;
43;103;60;163;Nd;-34080;500;7.992;3;8880;640;963414;537;0;8.16690247299701;-0.17490247299701078;;
41;102;61;163;Pm;-42960;400;8.042;2;7640;400;953881;429;0;8.223909378124215;-0.1819093781242156;-0.006002299999999572;-0.017947099999998883
39;101;62;163;Sm;-50599.612;7.359;8.0841653;0.0451;5974.2073;7.4141;945679.085;7.900;0;8.272448213032463;-0.18828291303246303;-0.0052888000000006485;-0.015887800000001562
37;100;63;163;Eu;-56573.819;0.904;8.1160172;0.0056;4814.7720;1.2046;939265.510;0.970;0;8.31251897772175;-0.1965017777217497;-0.0030005000000006277;-0.015710800000000802
35;99;64;163;Gd;-61388.591;0.797;8.140756;0.0049;3207.1628;4.1374;934096.640;0.855;0;8.344121672192077;-0.2033656721920778;-0.0038757999999994297;-0.015561899999999795
33;98;65;163;Tb;-64595.754;4.060;8.1556322;0.0249;1785.1041;4.0006;930653.609;4.358;0;8.367256296443445;-0.2116240964434457;-0.0064576000000009515;-0.015324299999999624
