N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene;Delta_2n;Delta_2p
0;8;8;16;O;-4737.00217;0.00030;7.9762072;0.0002;-15412.1840;5.3642;994914.61926;0.00032;-1;7.6649554929464765;0.3112517070535237;;
1;9;8;17;O;-808.76421;0.00064;7.750729099999999;0.0002;-2760.4655;0.2479;999131.75595;0.00069;0;7.636319966152492;0.1144091338475075;;
-1;8;9;17;F;1951.701;0.248;7.542328400000001;0.0146;-14548.7507;0.4323;002095.237;0.266;0;7.379638627788831;0.16268977221116998;;
2;10;8;18;O;-782.81634;0.00064;7.7670981;0.0002;-1655.9288;0.4633;999159.61214;0.00069;-1;7.782061632964862;-0.014963532964862303;0.01058170000000036;
0;9;9;18;F;873.112;0.463;7.6316383;0.0257;-4444.5049;0.5888;000937.324;0.497;1;7.537316836050779;0.09432146394922025;;
-2;8;10;18;Ne;5317.617;0.363;7.3412577;0.0202;-19720.3745;93.8819;005708.696;0.390;-1;7.278387366241396;0.06287033375860407;;0.021717000000000652
3;11;8;19;O;3332.858;2.637;7.5664952;0.1388;4820.3029;2.6370;003577.969;2.830;0;7.530426460027026;0.03606873997297466;0.007113399999998826;
1;10;9;19;F;-1487.44512;0.00082;7.7790192;0.0002;-3239.4986;0.1601;998403.16207;0.00088;0;7.823250499453951;-0.04423129945395132;-0.2774165999999987;
-1;9;10;19;Ne;1752.054;0.160;7.5673431;0.0084;-11177.3310;10.5364;001880.906;0.171;0;7.575911422776303;-0.008568322776302928;;-0.2789254000000021
-3;8;11;19;Na;12929.384;10.535;6.9378864;0.5545;-18909.0095;60.9189;013880.264;11.309;0;6.788409229994082;0.14947717000591787;;-0.03644439999999971
4;12;8;20;O;3796.172;0.885;7.5685707;0.0442;3813.6349;0.8854;004075.357;0.950;-1;7.477374711715231;0.09119598828476949;-0.005171100000000983;
2;11;9;20;F;-17.463;0.030;7.7201351;0.0015;7024.4689;0.0297;999981.252;0.031;1;7.71626093116153;0.003874168838470027;-0.18433650000000057;
0;10;10;20;Ne;-7041.93217;0.00154;8.0322412;0.0002;-13892.4207;1.1090;992440.17525;0.00165;-1;7.967711769676754;0.06452943032324576;-0.6427590999999993;-0.6346197999999985
-2;9;11;20;Na;6850.489;1.109;7.2985028000000005;0.0554;-10627.2054;2.1681;007354.301;1.190;1;7.229968773340998;0.06853402665900266;;-0.18336730000000134
-4;8;12;20;Mg;17477.694;1.863;6.7280252;0.0931;*;;018763.075;2.000;-1;6.504790396074169;0.2232348039258314;;-0.07079270000000104
5;13;8;21;O;8062.034;12.000;7.3893747;0.5714;8109.6390;12.1342;008654.948;12.882;0;7.122724330828628;0.26665036917137197;-0.04876860000000072;
3;12;9;21;F;-47.605;1.800;7.7382934;0.0857;5684.1712;1.8004;999948.893;1.932;0;7.77079042040766;-0.03249702040765978;-0.07522290000000087;
1;11;10;21;Ne;-5731.776;0.038;7.9717136;0.0018;-3546.9190;0.0177;993846.685;0.041;0;7.975211624166858;-0.0034980241668574052;-0.4208280000000002;-0.4758090999999993
-1;10;11;21;Na;-2184.857;0.042;7.7655581;0.0020;-13088.7080;0.7557;997654.459;0.045;0;7.735987942106222;0.029570157893777704;-0.4817362000000003;-0.41636950000000006
-3;9;12;21;Mg;10903.851;0.755;7.1050317;0.0359;-16186;600;011705.764;0.810;0;7.0531193742257505;0.05191232577424909;;-0.08872029999999853
-5;8;13;21;Al;27090;600;6.297;29;*;;029082;644;0;5.926605920525448;0.3703940794745515;;
6;14;8;22;O;9283.032;56.921;7.3648722;2.5873;6489.6562;58.2558;009965.744;61.107;-1;6.966745912656091;0.3981262873439091;-0.12148819999999994;
4;13;9;22;F;2793.376;12.399;7.6242954;0.5636;10818.0916;12.3990;002998.812;13.310;1;7.526336212436461;0.09795918756353927;-0.06487260000000017;
2;12;10;22;Ne;-8024.716;0.018;8.0804656;0.0008;-2843.3243;0.1325;991385.113;0.018;-1;8.115196648204803;-0.03473104820480266;-0.1353648000000005;-0.33165019999999856
0;11;11;22;Na;-5181.391;0.132;7.9156624;0.0060;-4781.4051;0.1631;994437.547;0.141;1;7.865018847894627;0.05064355210537386;-0.46933379999999936;-0.46160910000000044
-2;10;12;22;Mg;-399.986;0.159;7.662764500000001;0.0072;-18601;401;999570.597;0.170;-1;7.644111183572421;0.018653316427579725;-0.33679350000000063;-0.12605490000000152
-4;9;13;22;Al;18201;401;6.782;18;-15439;641;019540;430;1;6.584165283171699;0.197834716828301;;-0.10049719999999951
-6;8;14;22;Si;33640;500;6.044;23;*;;036114;537;-1;5.553489518758945;0.49051048124105456;;
7;15;8;23;O;14621.371;121.712;7.1634856;5.2918;11336.1072;126.1904;015696.686;130.663;0;6.570356289424249;0.5931293105757502;-0.20979069999999833;
5;14;9;23;F;3285.263;33.320;7.622344699999999;1.4487;8439.3084;33.3206;003526.875;35.770;0;7.451372091205364;0.17097260879463505;-0.17008949999999867;
3;13;10;23;Ne;-5154.045;0.104;7.9552561;0.0045;4375.8085;0.1044;994466.905;0.112;0;7.961356503937709;-0.0061004039377090535;-0.09899919999999973;-0.2976346999999979
1;12;11;23;Na;-9529.85352;0.00181;8.1114936;0.0002;-4056.1790;0.0317;989769.28195;0.00194;0;8.100309527621285;0.01118407237871466;-0.35603119999999855;-0.46355719999999856
-1;11;12;23;Mg;-5473.675;0.032;7.901122900000001;0.0014;-12221.7457;0.3461;994123.768;0.034;0;7.868231162256092;0.032891737743908855;-0.4737113000000015;-0.3504213000000016
-3;10;13;23;Al;6748.071;0.345;7.3357275;0.0150;-17202;500;007244.351;0.370;0;7.26512140784213;0.07060609215787039;-0.3533184000000009;-0.11189690000000052
-5;9;14;23;Si;23950;500;6.554;22;*;;025711;537;0;6.290980264379399;0.26301973562060166;;
8;16;8;24;O;18500.404;164.874;7.039685499999999;6.8698;10955.8885;191.6327;019861.000;177.000;-1;6.363066574926926;0.6766189250730728;-0.21701979999999832;
6;15;9;24;F;7544.516;97.670;7.4635831;4.0696;13496.1583;97.6717;008099.370;104.853;1;7.138255285942107;0.3253278140578928;-0.2206210999999998;
4;14;10;24;Ne;-5951.642;0.513;7.9933252;0.0214;2466.2583;0.5130;993610.649;0.550;-1;7.953186077456696;0.04013912254330432;-0.15427380000000035;-0.28790710000000175
2;13;11;24;Na;-8417.901;0.017;8.0634882;0.0007;5515.6774;0.0210;990963.012;0.017;1;8.045795473938146;0.017692726061854458;-0.2071126999999997;-0.3529156999999987
0;12;12;24;Mg;-13933.578;0.013;8.260710300000001;0.0006;-13884.7660;0.2282;985041.689;0.013;-1;8.178146950919006;0.08256334908099561;-0.5247850000000014;-0.5162467000000026
-2;11;13;24;Al;-48.812;0.228;7.6495806;0.0095;-10793.9978;19.4734;999947.598;0.244;1;7.588177032866727;0.06140356713327311;-0.3673959;-0.18549879999999952
-4;10;14;24;Si;10745.186;19.472;7.1672329;0.8113;-23275;501;011535.430;20.904;-1;7.037949195313857;0.12928370468614325;-0.36575749999999996;-0.14670129999999926
-6;9;15;24;P;34020;500;6.165;21;*;;036522;537;1;5.765399962727849;0.3996000372721511;;
9;17;8;25;O;27329.030;165.084;6.7278058000000005;6.6034;15994.8633;191.1909;029338.919;177.225;0;5.9569329632623;0.7708728367377002;-0.10712600000000183;
7;16;9;25;F;11334.167;96.442;7.3363065;3.8577;13369.6698;100.7212;012167.727;103.535;0;6.9912855222885995;0.3450209777114006;-0.17060210000000087;
5;15;10;25;Ne;-2035.503;29.045;7.8397993999999995;1.1618;7322.3107;29.0701;997814.797;31.181;0;7.710620735317994;0.1291786646820059;-0.2039275999999992;-0.252260699999999
3;14;11;25;Na;-9357.814;1.200;8.1013979;0.0480;3834.9684;1.2009;989953.974;1.288;0;8.114938602350481;-0.013540702350480771;-0.13435550000000074;-0.24889780000000172
1;13;12;25;Mg;-13192.782;0.047;8.2235028;0.0019;-4276.8080;0.0447;985836.966;0.050;0;8.204239123386063;0.01926367661393691;-0.28203019999999945;-0.36740750000000055
-1;12;13;25;Al;-8915.974;0.065;8.0211366;0.0026;-12743.2956;10.0002;990428.308;0.069;0;7.978522298424739;0.04261430157526114;-0.3749924;-0.2696902000000012
-3;11;14;25;Si;3827.322;10.000;7.4801109;0.4000;-16363;400;004108.798;10.735;0;7.43778812746651;0.04232277253349004;-0.2818797999999987;-0.09909889999999866
-5;10;15;25;P;20190;400;6.794;16;*;;021675;429;0;6.5820366105113735;0.21196338948862614;;
10;18;8;26;O;34661.041;164.950;6.497479;6.3442;15986.3855;196.6301;037210.155;177.081;-1;5.726910639605827;0.7705683603941731;0.03272749999999913;
8;17;9;26;F;18674.655;107.027;7.0822497;4.1164;18193.5414;108.6022;020048.065;114.898;1;6.647784820281462;0.4344648797185382;-0.0740596;
6;16;10;26;Ne;481.114;18.429;7.751911;0.7088;7341.8940;18.7585;000516.496;19.784;-1;7.614888658809051;0.13702234119094836;-0.12215049999999916;-0.1916834000000005
4;15;11;26;Na;-6860.780;3.502;8.0042013;0.1347;9353.7631;3.5018;992634.649;3.759;1;7.952375781789318;0.051825518210682375;-0.14564999999999984;-0.2349225999999991
2;14;12;26;Mg;-16214.544;0.029;8.3338711;0.0011;-4004.4042;0.0629;982592.972;0.031;-1;8.336092562621541;-0.002221462621541548;-0.1345787999999981;-0.2266724999999976
0;13;13;26;Al;-12210.139;0.066;8.1497653;0.0026;-5069.1361;0.0849;986891.876;0.071;1;8.090192627906438;0.05957267209356232;-0.34005310000000044;-0.3285582000000007
-2;12;14;26;Si;-7141.003;0.108;7.9247083;0.0041;-18114;196;992333.818;0.115;-1;7.890522351043292;0.03418594895670779;-0.23443919999999885;-0.10991519999999788
-4;11;15;26;P;10973;196;7.198;8;-16707;631;011780;210;1;7.061235358632822;0.13676464136717836;-0.3235158000000018;-0.15941940000000088
-6;10;16;26;S;27680;600;6.525;23;*;;029716;644;-1;6.2781780240743075;0.24682197592569288;;
11;19;8;27;O;44670;500;6.185;19;19536;514;047955;537;0;5.327764060356656;0.8572359396433438;;
9;18;9;27;F;25133.478;120.198;6.8796662;4.4518;18082.5680;150.6211;026981.897;129.037;0;6.462222222222225;0.41744397777777476;0.021005500000000232;
7;17;10;27;Ne;7050.910;90.770;7.5204151;3.3619;12568.7005;90.8467;007569.462;97.445;0;7.325788751714681;0.19462634828531922;-0.03396350000000137;-0.1994927000000004
5;16;11;27;Na;-5517.791;3.726;7.9569467000000005;0.1380;9068.8037;3.7266;994076.408;4.000;0;7.918463648834023;0.0384830511659775;-0.13034329999999983;-0.22912219999999905
3;15;12;27;Mg;-14586.594;0.047;8.2638525;0.0018;2610.2694;0.0669;984340.647;0.050;0;8.24024691358025;0.02360558641974997;-0.1906705000000013;-0.2392695000000007
1;14;13;27;Al;-17196.864;0.047;8.3315533;0.0018;-4812.3583;0.0964;981538.408;0.050;0;8.291138545953364;0.04041475404663508;-0.29350529999999786;-0.3104718999999978
-1;13;14;27;Si;-12384.505;0.107;8.124342;0.0040;-11725.4730;9.0013;986704.687;0.115;0;8.071138545953364;0.05320345404663662;-0.31993700000000125;-0.2787986000000009
-3;12;15;27;P;-659.032;9.001;7.6610894;0.3334;-18150;400;999292.499;9.662;0;7.58024691358025;0.08084248641974945;-0.27694199999999825;-0.17204219999999992
-5;11;16;27;S;17491;400;6.96;15;*;;018777;430;0;6.818463648834023;0.14153635116597663;;-0.16388910000000045
12;20;8;28;O;52080;699;5.988;25;18676;709;055910;750;-1;5.091071504226091;0.8969284957739099;;
10;19;9;28;F;33403.796;120.347;6.6268567;4.2981;22104.0579;174.2886;035860.448;129.198;1;6.1099645538058285;0.5168921461941718;0.03353629999999974;
8;18;10;28;Ne;11299.738;126.068;7.3883463;4.5024;12288.0534;126.4833;012130.767;135.339;-1;7.1789695493809145;0.20937675061908578;0.009750099999998874;-0.22478860000000012
6;17;11;28;Na;-988.315;10.246;7.7992644;0.3659;14031.6303;10.2498;998939.000;11.000;1;7.693343334136586;0.10592106586341377;-0.09235900000000008;-0.2551742000000008
4;16;12;28;Mg;-15019.946;0.261;8.2724531;0.0093;1830.7740;0.2653;983875.426;0.280;-1;8.257829064887606;0.014624035112394296;-0.15661009999999997;-0.27234029999999976
2;15;13;28;Al;-16850.719;0.049;8.3098969;0.0018;4642.0776;0.0486;981910.009;0.052;1;8.26768358481921;0.04221331518079019;-0.20892360000000032;-0.26208609999999943
0;14;14;28;Si;-21492.79711;0.00051;8.4477445;0.0002;-14344.9407;1.1473;976926.53442;0.00055;-1;8.327650050746161;0.12009444925383939;-0.45012580000000213;-0.4389098000000011
-2;13;15;28;P;-7147.856;1.147;7.9074842;0.0410;-11221.0593;160.0041;992326.460;1.231;1;7.832985305853699;0.07449889414630118;-0.26346199999999875;-0.19303329999999974
-4;12;16;28;S;4073.203;160.000;7.4787911000000005;5.7143;-24197;525;004372.762;171.767;-1;7.388432506956583;0.0903585930434172;-0.30987410000000004;-0.16687390000000146
-6;11;17;28;Cl;28270;500;6.587;18;*;;030349;537;1;6.389248497240055;0.19775150275994502;;
11;20;9;29;F;40150.190;525.363;6.4440314;18.1160;21750.3873;546.2212;043103.000;564.000;0;5.90563308382221;0.5383983161777897;0.0026033999999999224;
9;19;10;29;Ne;18399.803;149.505;7.167067299999999;5.1553;15719.8092;149.6847;019753.000;160.500;0;6.868336176932199;0.2987311230678005;-0.0006292999999990556;-0.2799459999999998
7;18;11;29;Na;2679.994;7.337;7.682152200000001;0.2530;13292.3538;7.3447;002877.091;7.876;0;7.595534332474819;0.08661786752518186;-0.008679900000000629;-0.25912020000000346
5;17;12;29;Mg;-10612.360;0.345;8.1135317;0.0119;7595.4023;0.4873;988607.163;0.369;0;8.087227550450066;0.026304149549932987;-0.094022299999998;-0.24835669999999688
3;16;13;29;Al;-18207.762;0.345;8.348464700000001;0.0119;3687.3192;0.3447;980453.164;0.370;0;8.343415830857946;0.005048869142054713;-0.1398581000000032;-0.258815000000002
1;15;14;29;Si;-21895.08154;0.00056;8.4486361;0.0002;-4942.2325;0.3589;976494.66434;0.00060;0;8.364099173698452;0.08453692630154741;-0.31463859999999855;-0.35161839999999955
-1;14;15;29;P;-16952.849;0.359;8.251236800000001;0.0124;-13858.4257;13.0459;981800.368;0.385;0;8.149277578971594;0.10195922102840704;-0.3602165000000017;-0.30171020000000226
-3;13;16;29;S;-3094.423;13.041;7.7463826;0.4497;-17117;189;996678.000;14.000;0;7.698951046677363;0.047431553322636155;-0.25096390000000035;-0.11642319999999895
-5;12;17;29;Cl;14022;189;7.129;7;-23947;478;015053;203;0;7.013119576815763;0.11588042318423675;;-0.10991059999999919
-7;11;18;29;Ar;37969;439;6.276;15;*;;040761;471;0;6.091783169386794;0.18421683061320593;;
12;21;9;30;F;48960;500;6.205;17;25680;561;052561;537;1;5.556853030071494;0.6481469699285061;;
10;20;10;30;Ne;23280.120;253.250;7.0345317;8.4417;14805.4501;253.2946;024992.235;271.875;-1;6.692872456795508;0.34165924320449204;-0.009717099999998702;-0.27722229999999826
8;19;11;30;Na;8474.670;4.727;7.5019685;0.1576;17356.0423;4.9011;009097.931;5.074;1;7.335865032809398;0.16610346719060232;0.015208900000000192;-0.27673539999999974
6;18;12;30;Mg;-8881.373;1.295;8.054425;0.0432;6982.7440;2.3287;990465.454;1.390;-1;8.031118993140534;0.02330600685946571;-0.0325558000000008;-0.23903470000000127
4;17;13;30;Al;-15864.116;1.936;8.2611049;0.0645;8568.8459;1.9357;982969.171;2.077;1;8.23334610276155;0.027758797238449873;-0.11196799999999918;-0.2588250999999975
2;16;14;30;Si;-24432.962;0.022;8.5206549;0.0008;-4232.1065;0.0615;973770.137;0.023;-1;8.487834596699809;0.032820303300191256;-0.11209630000000104;-0.2757266000000005
0;15;15;30;P;-20200.856;0.065;8.3535064;0.0022;-6141.6014;0.1956;978313.490;0.069;1;8.249296239927949;0.10421016007205175;-0.335408300000001;-0.3247101000000008
-2;14;16;30;S;-14059.254;0.206;8.1227081;0.0069;-18733.8020;23.8769;984906.770;0.221;-1;8.063019267473333;0.05968883252666757;-0.2734950000000005;-0.09766280000000105
-4;13;17;30;Cl;4674.548;23.876;7.4721698;0.7959;-17397;180;005018.333;25.631;1;7.383715444308595;0.0884543556914048;-0.28493379999999924;-0.1168553999999995
-6;12;18;30;Ar;22071;179;6.866;6;*;;023694;192;-1;6.756673005461104;0.10932699453889594;;
13;22;9;31;F;56843;535;6.011;17;25661;597;061023;574;0;5.345651636813519;0.6653483631864807;;
11;21;10;31;Ne;31181.594;266.195;6.8130901999999995;8.5869;18935.5625;266.5617;033474.816;285.772;0;6.375674388180464;0.4374158118195357;-0.023113099999999775;
9;20;11;31;Na;12246.031;13.972;7.398677800000001;0.4507;15368.1833;14.3065;013146.654;15.000;0;7.199010230523217;0.19966756947678377;-0.025277200000000555;-0.332707000000001
7;19;12;31;Mg;-3122.152;3.074;7.8691886;0.0992;11828.5569;3.8009;996648.232;3.300;0;7.815659163841777;0.053529436158223476;0.011592699999998679;-0.21025030000000022
5;18;13;31;Al;-14950.709;2.236;8.225518;0.0721;7998.3286;2.2360;983949.754;2.400;0;8.225621188136143;-0.00010318813614418332;-0.08195409999999725;-0.2550764999999977
3;17;14;31;Si;-22949.037;0.043;8.4582916;0.0014;1491.5071;0.0434;975363.196;0.046;0;8.428896303406317;0.029395296593683895;-0.10688750000000091;-0.305421100000002
1;16;15;31;P;-24440.54442;0.00075;8.4811677;0.0002;-5398.0130;0.2292;973761.99768;0.00080;0;8.4254845096523;0.05568319034770042;-0.19729129999999984;-0.30911500000000025
-1;15;16;31;S;-19042.531;0.229;8.2818013;0.0074;-12007.9790;3.4541;979557.002;0.246;0;8.21538580687409;0.06641549312590911;-0.3195895999999987;-0.18601059999999947
-3;14;17;31;Cl;-7034.552;3.447;7.8692101;0.1112;-18360;200;992448.097;3.700;0;7.798600195071686;0.07060990492831376;-0.3046645000000012;-0.09518339999999892
-5;13;18;31;Ar;11325;200;7.252;6;-22935;361;012158;215;0;7.175127674245092;0.07687232575490821;-0.2990440999999997;-0.10061739999999997
-7;12;19;31;K;34260;300;6.487;10;*;;036780;322;0;6.344968244394302;0.14203175560569825;;
12;22;10;32;Ne;36999;503;6.671;16;18359;504;039720;540;-1;6.1855862487327355;0.4854137512672647;-0.020468300000000994;
10;21;11;32;Na;18640.152;37.260;7.2198815000000005;1.1644;19469.0523;37.4021;020011.024;40.000;1;6.922291735841159;0.2975897641588414;-0.051356800000000646;-0.37441240000000153
8;20;12;32;Mg;-828.901;3.260;7.8038411;0.1019;10270.4677;7.8787;999110.138;3.500;-1;7.712241660537835;0.09159943946216487;-0.0028652999999998485;-0.2359846000000001
6;19;13;32;Al;-11099.368;7.173;8.1003449;0.2241;12978.3208;7.1787;988084.338;7.700;1;8.060461275992179;0.039883624007821084;-0.07923430000000042;-0.2505356999999986
4;18;14;32;Si;-24077.689;0.298;8.481468999999999;0.0093;227.1872;0.3008;974151.538;0.320;-1;8.461925329034772;0.019543670965227022;-0.10511719999999691;-0.32501439999999704
2;17;15;32;P;-24304.876;0.040;8.464120300000001;0.0013;1710.6608;0.0400;973907.643;0.042;1;8.421659072835036;0.042461227164965365;-0.12654860000000134;-0.2681651000000027
0;16;16;32;S;-26015.53714;0.00131;8.4931301;0.0002;-12680.8313;0.5617;972071.17354;0.00141;-1;8.434637254223546;0.058492845776454416;-0.2800534999999993;-0.2679328999999999
-2;15;17;32;Cl;-13334.706;0.562;8.0724058;0.0176;-11134.3536;1.8568;985684.605;0.603;1;8.005885126369726;0.06652067363027392;-0.2736712000000008;-0.12130520000000011
-4;14;18;32;Ar;-2200.352;1.770;7.700008899999999;0.0553;-24190;400;997637.824;1.900;-1;7.6303774361041565;0.06963146389584285;-0.336345399999999;-0.10430969999999817
-6;13;19;32;K;21990;400;6.92;12;*;;023607;429;1;6.813139436596254;0.10686056340374606;;
13;23;10;33;Ne;46130;600;6.436;18;22350;750;049523;644;0;5.870783826739781;0.565216173260219;;
11;22;11;33;Na;23780.113;449.912;7.0899262;13.6337;18817.2400;449.9195;025529.000;483.000;0;6.762431657789835;0.3274945422101645;-0.036174599999998946;-0.38172809999999835
9;21;12;33;Mg;4962.873;2.663;7.6364382;0.0807;13460.2550;7.4767;005327.862;2.859;0;7.471177262071208;0.16526093792879148;-0.04745399999999922;-0.2902217999999994
7;20;13;33;Al;-8497.382;6.986;8.0206172;0.2117;12016.9460;7.0211;990877.685;7.500;0;7.997020639583899;0.023596560416101475;-0.028592100000000897;-0.19630699999999912
5;19;14;33;Si;-20514.328;0.699;8.3610596;0.0212;5823.0223;1.2947;977976.964;0.750;0;8.339961790327909;0.021097809672092183;-0.09426320000000032;-0.3150795000000013
3;18;15;33;P;-26337.350;1.090;8.5138073;0.0330;248.5079;1.0900;971725.692;1.170;0;8.500000714303237;0.013806585696762852;-0.1001972999999996;-0.2818176000000001
1;17;16;33;S;-26585.85830;0.00134;8.4976304;0.0002;-5582.5182;0.3908;971458.90862;0.00144;0;8.477137411509883;0.02049298849011727;-0.17560840000000155;-0.20950709999999972
-1;16;17;33;Cl;-21003.340;0.391;8.3047557;0.0118;-11619.0452;0.5596;977451.988;0.419;0;8.271371881947847;0.03338381805215285;-0.22002229999999834;-0.16250279999999862
-3;15;18;33;Ar;-9384.295;0.401;7.9289559;0.0121;-16925;200;989925.545;0.430;0;7.8827041256171295;0.046251774382870536;-0.27844970000000124;-0.10011050000000044
-5;14;19;33;K;7540;200;7.392;6;-23489;447;008095;215;0;7.311134142517732;0.08086585748226849;-0.3311591000000007;-0.08678990000000031
-7;13;20;33;Ca;31030;400;6.657;12;*;;033312;429;0;6.55666193264965;0.10033806735035;;
14;24;10;34;Ne;52842;513;6.287;15;21161;789;056728;551;-1;5.674904345752553;0.6120956542474465;;
12;23;11;34;Na;31680.114;599.416;6.8864377;17.6299;23356.7903;599.4561;034010.000;643.500;1;6.479683588556199;0.40675411144380114;0.0040061000000006786;
10;22;12;34;Mg;8323.324;6.893;7.550391899999999;0.2027;11320.9428;7.2072;008935.455;7.400;-1;7.337899797784359;0.21249210221564052;-0.05252249999999936;-0.3172638999999986
8;21;13;34;Al;-2997.619;2.105;7.860350599999999;0.0619;16994.0653;2.2519;996781.924;2.259;1;7.797603760826189;0.06274683917381019;0.0031591000000013025;-0.19295049999999847
6;20;14;34;Si;-19991.684;0.801;8.3371659;0.0236;4557.0175;1.1395;978538.045;0.860;-1;8.310744690292537;0.026421209707462978;-0.08034290000000155;-0.29510070000000255
4;19;15;34;P;-24548.702;0.810;8.4481856;0.0238;5382.9879;0.8116;973645.886;0.870;1;8.425373373572551;0.02281222642744929;-0.1243817000000007;-0.2740941000000028
2;18;16;34;S;-29931.689;0.045;8.5834986;0.0013;-5491.6037;0.0378;967867.011;0.047;-1;8.593439023277083;-0.009940423277083;-0.09847710000000198;-0.16561860000000195
0;17;17;34;Cl;-24440.086;0.049;8.3989706;0.0014;-6061.7930;0.0631;973762.490;0.052;1;8.362992426795286;0.035978173204714636;-0.20360320000000165;-0.1915975999999997
-2;16;18;34;Ar;-18378.293;0.078;8.1976724;0.0023;-17158;196;980270.092;0.083;-1;8.185982796738003;0.011689603261997306;-0.1754262999999998;-0.08633480000000038
-4;15;19;34;K;-1220;196;7.67;6;-16110;358;998690;210;1;7.610460920494387;0.05953907950561277;-0.27777670000000043;-0.10159419999999919
-6;14;20;34;Ca;14890;300;7.173;9;*;;015985;322;-1;7.088376010675293;0.08462398932470716;;
13;24;11;35;Na;37831;670;6.745;19;22192;723;040614;720;0;6.307296477552158;0.4377035224478423;0.0029261999999992128;
11;23;12;35;Mg;15639.786;269.668;7.3562338;7.7048;15863.5156;269.7679;016790.000;289.500;0;7.083766600368665;0.27246719963133526;-0.0209179000000006;-0.32356430000000014
9;22;13;35;Al;-223.730;7.359;7.7871243;0.2103;14167.7504;36.6047;999759.816;7.900;0;7.697196858088471;0.08992744191152902;-0.022315400000000984;-0.21676629999999975
7;21;14;35;Si;-14391.480;35.857;8.1695644;1.0245;10466.3291;35.9049;984550.111;38.494;0;8.147587250711574;0.021977149288426645;-0.025165900000000185;-0.24275430000000142
5;20;15;35;P;-24857.809;1.866;8.4462496;0.0533;3988.4006;1.8667;973314.045;2.003;0;8.43493777823798;0.011311821762019392;-0.11113579999999956;-0.3016003999999999
3;19;16;35;S;-28846.210;0.040;8.5378511;0.0012;167.3218;0.0257;969032.321;0.043;0;8.55924844066768;-0.021397340667681064;-0.11813549999999928;-0.18750199999999673
1;18;17;35;Cl;-29013.532;0.035;8.520279;0.0010;-5966.2429;0.6794;968852.694;0.038;0;8.52051923800068;-0.00024023800068029288;-0.16552070000000185;-0.18690270000000098
-1;17;18;35;Ar;-23047.289;0.680;8.3274621;0.0194;-11874.3955;0.8516;975257.719;0.730;0;8.31875017023698;0.008711929763020265;-0.19882769999999894;-0.1538371000000005
-3;16;19;35;K;-11172.893;0.512;7.9658409;0.0146;-16363;200;988005.406;0.550;0;7.953941237376578;0.01189966262342157;-0.1998338000000004;-0.10192610000000002
-5;15;20;35;Ca;5190;200;7.476;6;-21910;447;005572;215;0;7.426092439419475;0.049907560580525256;-0.2915433000000007;-0.09704409999999974
-7;14;21;35;Sc;27100;400;6.828;11;*;;029093;429;0;6.735203776365671;0.0927962236343296;;
14;25;11;36;Na;45903;687;6.557;19;25523;974;049279;737;1;6.025458501073821;0.5315414989261793;-0.01156230000000047;
12;24;12;36;Mg;20380.159;690.237;7.2444201999999995;19.1733;14429.7751;706.2429;021879.000;741.000;-1;6.932323205089909;0.3120969949100907;-0.01044849999999986;-0.3090106999999982
10;23;13;36;Al;5950.384;149.505;7.6235154000000005;4.1529;18386.5096;165.8510;006388.000;160.500;1;7.477465999310293;0.14604940068970773;-0.016680200000001477;-0.2133181999999998
8;22;14;36;Si;-12436.125;71.797;8.1125199;1.9944;7814.9194;72.9852;986649.271;77.077;-1;8.075701698549791;0.03681820145020964;0.0049557999999994;-0.22586500000000242
6;21;15;36;P;-20251.045;13.114;8.307869199999999;0.3643;10413.0962;13.1124;978259.610;14.078;1;8.312215487993583;-0.004346287993584497;-0.020277899999996407;-0.2499060999999969
4;20;16;36;S;-30664.141;0.188;8.575389999999999;0.0052;-1142.1329;0.1893;967080.692;0.201;-1;8.60182218245649;-0.026432182456490594;-0.11849849999999762;-0.19933339999999689
2;19;17;36;Cl;-29522.008;0.036;8.521932199999998;0.0010;709.5343;0.0449;968306.822;0.038;1;8.529706967123694;-0.007774767123695625;-0.13941209999999593;-0.15761949999999558
0;18;18;36;Ar;-30231.542;0.027;8.5199096;0.0008;-12814.3607;0.3259;967545.106;0.028;-1;8.510684656810009;0.009224943189991563;-0.22786609999999996;-0.21627719999999861
-2;17;19;36;K;-17417.182;0.325;8.1422233;0.0090;-10966.0155;40.0013;981301.887;0.349;1;8.129940436700622;0.012282863299377667;-0.17638729999999825;-0.13447599999999849
-4;16;20;36;Ca;-6451.166;40.000;7.8158799;1.1111;-22601;303;993074.388;42.941;-1;7.802289121610348;0.013590778389652058;-0.21871639999999815;-0.11508739999999928
-6;15;21;36;Sc;16150;300;7.166;8;*;;017338;322;1;7.11291589672437;0.05308410327562996;;
15;26;11;37;Na;53134;687;6.403;19;24923;980;057042;737;0;5.8474370923144985;0.5555629076855011;-0.004999999999999005;
13;25;12;37;Mg;28211.478;698.947;7.0551115;18.8905;18401.9132;721.8139;030286.265;750.350;0;6.673328835577358;0.38178266442264164;-0.019989199999999485;
11;24;13;37;Al;9809.564;180.244;7.5313159999999995;4.8715;16381.0765;213.1678;010531.000;193.500;0;7.3529408949406285;0.17837510505937093;-0.015507699999998792;-0.2196619000000002
