N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;bind_ene_total;delta;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene
15;28;13;41;Al;33420;500;7.008;12;21300;747;41;035878;537;287.328;0;6.598660434478074;270.54507781360104;0.4093395655219263
13;27;14;41;Si;12119.668;554.705;7.508573;13.529;17099.435;567.571;41;013011.000;595.500;307.851493;0;7.2454876789283595;297.06499483606274;0.2630853210716406
11;26;15;41;P;-4979.767;120.163;7.906551;2.931;14028.810;120.233;40;994654.000;129.000;324.168591;0;7.772567709327083;318.6752760824104;0.13398329067291748
9;25;16;41;S;-19008.577;4.099;8.229635;0.100;8298.611;68.846;40;979593.451;4.400;337.415035;0;8.179900525674249;335.37592155264423;0.049734474325751066
7;24;17;41;Cl;-27307.189;68.723;8.412959;1.676;5760.317;68.724;40;970684.525;73.777;344.93131900000003;0;8.467486127969854;347.166931246764;-0.054527127969853595
5;23;18;41;Ar;-33067.505;0.347;8.534372;0.008;2492.038;0.347;40;964500.571;0.372;349.909252;0;8.6353245162139;354.04830516476994;-0.10095251621390133
3;22;19;41;K;-35559.54331;0.00380;8.576072;0.000;-421.653;0.138;40;961825.25796;0.00408;351.618952;0;8.683415690406386;356.0200433066618;-0.10734369040638647
1;21;20;41;Ca;-35137.890;0.138;8.546706;0.003;-6495.478;0.158;40;962277.921;0.147;350.414946;0;8.611759650547313;353.0821456724398;-0.06505365054731271
-1;20;21;41;Sc;-28642.412;0.083;8.369198;0.002;-12944.875;27.945;40;969251.104;0.088;343.13711800000004;0;8.420356396636679;345.23461226210384;-0.051158396636678205
-3;19;22;41;Ti;-15697.537;27.945;8.034388;0.682;-16018;202;40;983148.000;30.000;329.409908;0;8.109205928674486;332.4774430756539;-0.07481792867448611
-5;18;23;41;V;320;200;7.625;5;*;;41;000344;215;312.625;0;7.678308246660732;314.81063811309;-0.053308246660732195
16;29;13;42;Al;40100;600;6.874;14;23630;781;42;043049;644;288.70799999999997;1;6.363318724466847;267.2593864276076;0.5106812755331527
14;28;14;42;Si;16470;500;7.418;12;15460;591;42;017681;537;311.556;-1;7.11266894352553;298.7320956280723;0.30533105647447023
12;27;15;42;P;1009.740;314.379;7.767866;7.485;18647.485;314.392;42;001084.000;337.500;326.25037199999997;1;7.583171981110214;318.49322320662895;0.1846940188897861
10;26;16;42;S;-17637.746;2.794;8.193227;0.067;7194.021;59.681;41;981065.100;3.000;344.115534;-1;8.104008317140021;340.3683493198809;0.08921868285997903
8;25;17;42;Cl;-24831.767;59.616;8.345886;1.419;9590.908;59.895;41;973342.000;64.000;350.527212;1;8.34599747169583;350.53189381122485;-0.00011147169582947924
6;24;18;42;Ar;-34422.675;5.775;8.555613;0.138;599.351;5.776;41;963045.736;6.200;359.335746;-1;8.638319924696763;362.80943683726406;-0.08270692469676355
4;23;19;42;K;-35022.026;0.106;8.551255999999999;0.003;3525.219;0.183;41;962402.306;0.113;359.15275199999996;1;8.651795196223693;363.3753982413951;-0.10053919622369456
2;22;20;42;Ca;-38547.245;0.149;8.616563;0.004;-6426.092;0.097;41;958617.828;0.159;361.89564599999994;-1;8.715603766195752;366.05535818022156;-0.09904076619575264
0;21;21;42;Sc;-32121.153;0.169;8.444933;0.004;-7016.479;0.224;41;965516.522;0.181;354.68718600000005;1;8.500565154693808;357.0237364971399;-0.05563215469380722
-2;20;22;42;Ti;-25104.674;0.277;8.259247;0.007;-17485;196;41;973049.022;0.297;346.888374;-1;8.335859841636992;350.1061133487537;-0.076612841636992
-4;19;23;42;V;-7620;196;7.824;5;-14350;445;41;991820;210;328.608;1;7.892307347106174;331.4769085784593;-0.06830734710617392
-6;18;24;42;Cr;6730;400;7.464;10;*;;42;007225;429;313.488;-1;7.499088151020482;314.96170234286024;-0.03508815102048146
17;30;13;43;Al;47020;800;6.741;19;23919;998;43;050478;859;289.863;0;6.209912900088231;267.02625470379394;0.531087099911769
15;29;14;43;Si;23101;596;7.279;14;18421;814;43;024800;640;312.997;0;6.894651093805446;296.4699970336342;0.3843489061945542
13;28;15;43;P;4679.826;554.705;7.689572;12.900;16875.285;554.727;43;005024.000;595.500;330.651596;0;7.47024844743625;321.2206832397587;0.21932355256375047
11;27;16;43;S;-12195.459;4.970;8.063827;0.116;11964.049;62.058;42;986907.635;5.335;346.744561;0;7.936704960980648;341.27831332216783;0.12712203901935215
9;26;17;43;Cl;-24159.508;61.858;8.323866;1.439;7850.300;62.086;42;974063.700;66.407;357.926238;0;8.294020634438636;356.6428872808614;0.02984536556136419
7;25;18;43;Ar;-32009.808;5.310;8.488237;0.123;4565.581;5.325;42;965636.055;5.700;364.994191;0;8.542195467810219;367.3144051158394;-0.053958467810218735
5;24;19;43;K;-36575.389;0.410;8.57622;0.010;1833.434;0.469;42;960734.703;0.440;368.77745999999996;0;8.681229461095393;373.2928668271019;-0.10500946109539377
3;23;20;43;Ca;-38408.822;0.228;8.600663;0.005;-2220.720;1.865;42;958766.430;0.244;369.82850900000005;0;8.711122614294158;374.5782724146488;-0.1104596142941574
1;22;21;43;Sc;-36188.102;1.863;8.530825;0.043;-6867.020;7.481;42;961150.472;1.999;366.825475;0;8.631874927406516;371.1706218784802;-0.10104992740651575
-1;21;22;43;Ti;-29321.082;7.245;8.352932000000001;0.168;-11404.726;43.457;42;968522.521;7.777;359.176076;0;8.443486400432466;363.069915218596;-0.09055440043246499
-3;20;23;43;V;-17916.356;42.849;8.069512;0.996;-15946;402;42;980766.000;46.000;346.989016;0;8.145957033372007;350.2761524349963;-0.07644503337200703
-5;19;24;43;Cr;-1970;400;7.68;9;*;;42;997885;429;330.24;0;7.739286826225141;332.78933352768104;-0.05928682622514092
16;30;14;44;Si;28513;596;7.174;14;18063;778;44;030610;640;315.656;-1;6.754202098995236;297.1848923557904;0.4197979010047641
14;29;15;44;P;10450;500;7.567;11;19655;500;44;011219;537;332.948;1;7.273244718351847;320.0227676074813;0.2937552816481528
12;28;16;44;S;-9204.233;5.216;7.996015000000001;0.119;11180.290;136.421;43;990118.848;5.600;351.82466000000005;-1;7.841418508601597;345.0224143784703;0.15459649139840348
10;27;17;44;Cl;-20384.523;136.321;8.232332;3.098;12288.731;136.330;43;978116.312;146.346;362.222608;1;8.151730100719845;358.6761244316732;0.08060189928015404
8;26;18;44;Ar;-32673.255;1.584;8.49384;0.036;3108.237;1.638;43;964923.816;1.700;373.72896000000003;-1;8.51117286373123;374.4916060041742;-0.01733286373123022
6;25;19;44;K;-35781.492;0.419;8.546700999999999;0.010;5687.183;0.530;43;961586.986;0.450;376.05484399999995;1;8.612753428611116;378.9611508588891;-0.06605242861111726
4;24;20;44;Ca;-41468.675;0.325;8.658175;0.007;-3652.690;1.757;43;955481.543;0.348;380.9597;-1;8.763465164384137;385.592467232902;-0.10529016438413663
2;23;21;44;Sc;-37815.985;1.756;8.557379000000001;0.040;-267.416;1.890;43;959402.867;1.884;376.52467600000006;1;8.656314702025657;380.87784688912893;-0.09893570202565627
