N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;bind_ene_total;delta;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene
3;49;46;95;Pd;-69965.913;3.031;8.4289807;0.0319;-10060;400;924888.506;3.253;800.7531665;0;8.54448737429424;811.7263005579529;-0.11550667429423989
1;48;47;95;Ag;-59906;400;8.315;4;-12850;400;935688;429;789.925;0;8.423452854777777;800.2280212038888;-0.10845285477777722
-1;47;48;95;Cd;-47056;566;8.171;6;*;;949483;607;776.2449999999999;0;8.278808085266048;786.4867681002746;-0.10780808526604879
26;61;35;96;Br;-38210;300;8.184;3;14872;301;958980;322;785.664;1;8.250429651802373;792.0412465730278;-0.06642965180237326
24;60;36;96;Kr;-53081.682;19.277;8.3308721;0.2008;8272.6693;19.5669;943014.473;20.695;799.7637216;-1;8.419376130436524;808.2601085219062;-0.088504030436523
22;59;37;96;Rb;-61354.351;3.353;8.4088963;0.0349;11563.8970;9.1062;934133.398;3.599;807.2540448;1;8.517551820113471;817.6849747308933;-0.10865552011347113
20;58;38;96;Sr;-72918.248;8.466;8.5212041;0.0882;5411.7380;9.7257;921719.045;9.089;818.0355936000001;-1;8.640214655274784;829.4606069063793;-0.11901055527478377
18;57;39;96;Y;-78329.986;6.075;8.5694269;0.0633;7108.8741;6.0740;915909.305;6.521;822.6649824;1;8.692106701478894;834.4422433419738;-0.12267980147889368
16;56;40;96;Zr;-85438.860;0.114;8.6353283;0.0012;163.9704;0.1000;908277.615;0.122;828.9915168;-1;8.768485893167364;841.7746457440669;-0.13315759316736475
14;55;41;96;Nb;-85602.830;0.147;8.6288868;0.0015;3192.0590;0.1070;908101.586;0.157;828.3731328;1;8.774094295898632;842.3130524062686;-0.14520749589863158
12;54;42;96;Mo;-88794.889;0.120;8.653988;0.0013;-2973.2411;5.1450;904674.770;0.128;830.7828480000001;-1;8.804189844114264;845.2022250349694;-0.15020184411426385
10;53;43;96;Tc;-85821.648;5.146;8.6148673;0.0536;258.7369;5.1464;907866.675;5.524;827.0272608;1;8.763514603372693;841.2974019237786;-0.14864730337269272
8;52;44;96;Ru;-86080.385;0.170;8.609413;0.0018;-6392.6529;10.0000;907588.910;0.182;826.503648;-1;8.747326508115483;839.7433447790863;-0.1379135081154832
6;51;45;96;Rh;-79687.732;10.001;8.5346735;0.1042;-3504.3127;10.8442;914451.705;10.737;819.328656;1;8.660367623901072;831.3952918945029;-0.12569412390107182
4;50;46;96;Pd;-76183.420;4.194;8.490020699999999;0.0437;-11671.7741;90.1814;918213.739;4.502;815.0419871999999;-1;8.597895885171026;825.3980049764184;-0.1078751851710269
2;49;47;96;Ag;-64511.645;90.084;8.3602903;0.9384;-8940;400;930743.903;96.708;802.5878688;1;8.464653357483774;812.6067223184423;-0.1043630574837735
0;48;48;96;Cd;-55572;410;8.259;4;-17482;647;940341;440;792.864;-1;8.355897975280886;802.166205626965;-0.09689797528088562
-2;47;49;96;In;-38090;500;8.069;5;*;;959109;537;774.624;1;8.176371804120794;784.9316931955963;-0.10737180412079361
27;62;35;97;Br;-34000;400;8.14;4;13423;420;963499;429;789.58;0;8.205580463400137;795.9413049498133;-0.06558046340013668
25;61;36;97;Kr;-47423.499;130.409;8.269864499999999;1.3444;11095.6460;130.4232;949088.782;140.000;802.1768564999999;0;8.356874500290836;810.616826528211;-0.08701000029083694
23;60;37;97;Rb;-58519.145;1.912;8.3761872;0.0197;10061.5295;3.8872;937177.117;2.052;812.4901584;0;8.485481016222739;823.0916585736056;-0.10929381622273837
21;59;38;97;Sr;-68580.674;3.385;8.471848900000001;0.0349;7534.7807;7.5131;926375.621;3.633;821.7693433000002;0;8.591400011195853;833.3658010859978;-0.11955111119585204
19;58;39;97;Y;-76115.455;6.708;8.5414616;0.0692;6821.2382;6.7068;918286.702;7.201;828.5217752;0;8.674631485210174;841.4392540653869;-0.13316988521017414
17;57;40;97;Zr;-82936.693;0.121;8.6037182;0.0013;2666.1038;4.2435;910963.802;0.130;834.5606654;0;8.735175438265701;847.312017511773;-0.13145723826570155
15;56;41;97;Nb;-85602.797;4.244;8.6231384;0.0438;1941.9038;4.2435;908101.622;4.556;836.4444248;0;8.773031870362434;850.9840914251561;-0.14989347036243394
13;55;42;97;Mo;-87544.700;0.165;8.6350926;0.0017;-320.2640;4.1169;906016.903;0.176;837.6039822;0;8.788200781500377;852.4554758055366;-0.15310818150037697
11;54;43;97;Tc;-87224.436;4.118;8.6237254;0.0425;-1103.8722;4.9563;906360.720;4.420;836.5013637999999;0;8.780682171679526;851.726170652914;-0.1569567716795266
9;53;44;97;Ru;-86120.564;2.763;8.6042799;0.0285;-3523.0000;35.3553;907545.776;2.965;834.6151503;0;8.750476040899883;848.7961759672887;-0.14619614089988353
7;52;45;97;Rh;-82597.564;35.463;8.5598949;0.3656;-4791.7118;35.7924;911327.872;38.071;830.3098053;0;8.697582389161449;843.6654917486605;-0.1376874891614488
5;51;46;97;Pd;-77805.852;4.844;8.5024303;0.0499;-6901.8255;12.9558;916471.985;5.200;824.7357391;0;8.62200121646422;836.3341179970294;-0.11957091646421958
3;50;47;97;Ag;-70904.027;12.016;8.4232121;0.1239;-10170.0000;420.0000;923881.400;12.900;817.0515737000001;0;8.5237325228082;826.8020547123954;-0.10052042280819862
1;49;48;97;Cd;-60734.027;420.172;8.310301299999999;4.3317;-13344;580;934799.343;451.073;806.0992260999999;0;8.402776308193385;815.0693018947584;-0.09247500819338583
-1;48;49;97;In;-47390;401;8.165;4;*;;949125;430;792.0049999999999;0;8.259132572619778;801.1358595441185;-0.09413257261977925
28;63;35;98;Br;-28050;400;8.078;4;16070;500;969887;429;791.6439999999999;1;8.135903762520508;797.3185687270097;-0.05790376252050855
26;62;36;98;Kr;-44120;300;8.234;3;10249;300;952635;322;806.932;-1;8.316171023247858;814.9847602782901;-0.08217102324785763
24;61;37;98;Rb;-54369.152;16.083;8.330729400000001;0.1641;12053.2361;16.4029;941632.317;17.265;816.4114812000001;1;8.428013101211736;825.9452839187501;-0.09728370121173491
22;60;38;98;Sr;-66422.389;3.226;8.4457385;0.0329;5866.3591;8.5504;928692.636;3.463;827.6823729999999;-1;8.563786800485497;839.2511064475786;-0.11804830048549775
20;59;39;98;Y;-72288.748;7.919;8.4976162;0.0808;8993.0098;11.5755;922394.841;8.501;832.7663875999999;1;8.631135316995788;845.8512610655872;-0.13351911699578878
18;58;40;98;Zr;-81281.757;8.445;8.5813984;0.0862;2242.8547;9.8134;912740.448;9.065;840.9770431999999;-1;8.72241545481596;854.7967145719641;-0.14101705481596127
16;57;41;98;Nb;-83524.612;5.001;8.5963016;0.0510;4591.3681;5.0032;910332.645;5.369;842.4375568;1;8.745270409872662;857.0365001675209;-0.14896880987266137
14;56;42;98;Mo;-88115.980;0.174;8.635169099999999;0.0018;-1683.7664;3.3768;905403.609;0.186;846.2465717999999;-1;8.792056986239247;861.6215846514463;-0.15688788623924843
12;55;43;98;Tc;-86432.214;3.380;8.6100047;0.0345;1792.6575;7.1568;907211.206;3.628;843.7804606;1;8.770418379842361;859.5010012245514;-0.1604136798423621
10;54;44;98;Ru;-88224.871;6.463;8.620314;0.0659;-5049.6529;10.0000;905286.709;6.937;844.7907720000001;-1;8.772711394755358;859.7257166860251;-0.15239739475535785
8;53;45;98;Rh;-83175.219;11.906;8.5608038;0.1215;-1854.2331;12.8161;910707.734;12.782;838.9587724;1;8.706579226904884;853.2447642366786;-0.14577542690488343
6;52;46;98;Pd;-81320.985;4.742;8.5338999;0.0484;-8254.5607;33.0975;912698.335;5.090;836.3221902;-1;8.664378680364292;849.1091106757007;-0.1304787803642924
4;51;47;98;Ag;-73066.425;32.907;8.4416866;0.3358;-5430.0000;40.0000;921559.970;35.327;827.2852868000001;1;8.553752951060229;838.2677892039025;-0.11206635106022844
2;50;48;98;Cd;-67636.425;51.797;8.3782953;0.5285;-13730;300;927389.315;55.605;821.0729394;-1;8.467058843066049;829.7717666204728;-0.08876354306604917
0;49;49;98;In;-53906;304;8.23;3;*;;942129;327;806.5400000000001;1;8.311939552308399;814.5700761262231;-0.08193955230839833
27;63;36;99;Kr;-38400;400;8.175;4;12721;400;958776;429;809.325;0;8.250856296401967;816.8347733437947;-0.075856296401966
25;62;37;99;Rb;-51121.150;4.031;8.295301;0.0407;11397.3767;6.2201;945119.190;4.327;821.2347990000001;0;8.391834257378873;830.7915914805085;-0.09653325737887286
23;61;38;99;Sr;-62518.527;4.737;8.4025235;0.0479;8125.2037;8.1353;932883.604;5.085;831.8498265;0;8.510993155988746;842.5883224428859;-0.10846965598874725
21;60;39;99;Y;-70643.730;6.615;8.4766938;0.0668;6972.9398;12.4082;924160.839;7.101;839.1926861999999;0;8.60833299223158;852.2249662309264;-0.13163919223157983
19;59;40;99;Zr;-77616.670;10.499;8.539225;0.1061;4718.6736;15.9474;916675.081;11.271;845.383275;0;8.68385376610738;859.7015228446305;-0.1446287661073793
17;58;41;99;Nb;-82335.344;12.004;8.5789859;0.1213;3634.7623;12.0059;911609.377;12.886;849.3196040999999;0;8.73755547761614;865.017992283998;-0.15856957761614154
15;57;42;99;Mo;-85970.106;0.229;8.6077982;0.0023;1357.7631;0.8905;907707.299;0.245;852.1720217999999;0;8.769438126757866;868.1743745490287;-0.1616399267578661
13;56;43;99;Tc;-87327.869;0.908;8.6136105;0.0092;297.5156;0.9453;906249.681;0.974;852.7474395;0;8.779501713532554;869.1706696397229;-0.16589121353255365
11;55;44;99;Ru;-87625.385;0.343;8.6087132;0.0035;-2040.8632;19.4529;905930.284;0.368;852.2626068000001;0;8.767746237940207;868.0068775560804;-0.1590330379402065
9;54;45;99;Rh;-85584.522;19.451;8.580195900000001;0.1965;-3401.6603;18.9153;908121.241;20.881;849.4393941000002;0;8.734171699980823;864.6829982981016;-0.153975799980822
7;53;46;99;Pd;-82182.861;5.107;8.5379332;0.0516;-5470.3785;8.0829;911773.073;5.482;845.2553868;0;8.678778099654402;859.1990318657857;-0.14084489965440206
5;52;47;99;Ag;-76712.483;6.265;8.4747744;0.0633;-6781.3511;6.4622;917645.766;6.725;839.0026655999999;0;8.601565436960945;851.5549782591336;-0.1267910369609453
3;51;48;99;Cd;-69931.132;1.584;8.3983734;0.0160;-8555;298;924925.845;1.700;831.4389666000001;0;8.502533711900451;841.7508374781447;-0.10416031190045061
1;50;49;99;In;-61376;298;8.304;3;-13400;500;934110;320;822.096;0;8.381682924472923;829.7866095228194;-0.07768292447292247
-1;49;50;99;Sn;-47976;582;8.161;6;*;;948495;625;807.939;0;8.239013074678356;815.6622943931573;-0.07801307467835628
28;64;36;100;Kr;-34470;400;8.134;4;11796;400;962995;429;813.4000000000001;-1;8.20688726077598;820.6887260775981;-0.07288726077598007
26;63;37;100;Rb;-46265.884;13.124;8.2445085;0.1312;13551.6204;14.8355;950331.532;14.089;824.4508500000001;1;8.331246597410246;833.1246597410246;-0.08673809741024563
24;62;38;100;Sr;-59817.505;6.918;8.3722012;0.0692;7503.7365;13.1453;935783.270;7.426;837.22012;-1;8.479002080253668;847.9002080253669;-0.10680088025366885
22;61;39;100;Y;-67321.241;11.179;8.4394151;0.1118;9051.4949;13.8293;927727.678;12.000;843.94151;1;8.560553709306246;856.0553709306246;-0.12113860930624654
20;60;40;100;Zr;-76372.736;8.143;8.522106599999999;0.0814;3418.5098;11.3976;918010.499;8.742;852.2106599999998;-1;8.665501484567985;866.5501484567985;-0.14339488456798577
18;59;41;100;Nb;-79791.246;7.976;8.5484683;0.0798;6401.7829;7.9817;914340.578;8.562;854.84683;1;8.70424540603888;870.4245406038879;-0.1557771060388795
16;58;42;100;Mo;-86193.029;0.301;8.6046626;0.0030;-172.0776;1.3704;907467.982;0.322;860.4662599999999;-1;8.766385473718932;876.6385473718932;-0.1617228737189329
14;57;43;100;Tc;-86020.951;1.351;8.595118399999999;0.0135;3206.4401;1.3760;907652.715;1.450;859.5118399999999;1;8.762321687608143;876.2321687608143;-0.16720328760814418
12;56;44;100;Ru;-89227.391;0.342;8.6193593;0.0034;-3636.2612;18.1231;904210.460;0.367;861.9359299999999;-1;8.781654047706514;878.1654047706514;-0.16229474770651464
10;55;45;100;Rh;-85591.130;18.125;8.5751732;0.1813;-378.4577;25.2879;908114.147;19.458;857.51732;1;8.73478255401404;873.4782554014039;-0.15960935401403908
8;54;46;100;Pd;-85212.672;17.637;8.5635652;0.1764;-7074.7030;18.3319;908520.438;18.934;856.3565199999999;-1;8.711307206530726;871.1307206530727;-0.1477420065307271
6;53;47;100;Ag;-78137.969;5.000;8.4849947;0.0500;-3943.3740;5.2735;916115.443;5.367;848.49947;1;8.621628005256568;862.1628005256568;-0.13663330525656825
4;52;48;100;Cd;-74194.595;1.677;8.437737499999999;0.0168;-10016.4492;2.7945;920348.829;1.800;843.77375;-1;8.55534495019157;855.534495019157;-0.1176074501915707
2;51;49;100;In;-64178.146;2.236;8.3297495;0.0224;-7030.0000;240.0000;931101.929;2.400;832.97495;1;8.422858041335727;842.2858041335727;-0.09310854133572732
0;50;50;100;Sn;-57148.146;240.010;8.251626;2.4001;*;;938648.944;257.661;825.1626;-1;8.313767278689046;831.3767278689046;-0.06214127868904562
29;65;36;101;Kr;-28580;500;8.075;5;13987;501;969318;537;815.5749999999999;0;8.139234533864572;822.0626879203218;-0.0642345338645729
27;64;37;101;Rb;-42567.417;20.493;8.2061753;0.2029;12757.4969;22.1781;954302.000;22.000;828.8237053;0;8.291522035537229;837.4437255892601;-0.08534673553722882
25;63;38;101;Sr;-55324.914;8.480;8.324741099999999;0.0840;9729.8721;11.0473;940606.264;9.103;840.7988510999999;0;8.422808869277953;850.7036957970732;-0.09806776927795369
23;62;39;101;Y;-65054.787;7.080;8.4133305;0.0701;8106.2003;10.9331;930160.817;7.601;849.7463805000001;0;8.533095035086744;861.8425985437611;-0.1197645350867429
21;61;40;101;Zr;-73160.987;8.332;8.485843899999999;0.0825;5730.5011;9.1366;921458.454;8.944;857.0702339;0;8.622380532963607;870.8604338293243;-0.13653663296360818
19;60;41;101;Nb;-78891.488;3.749;8.5348355;0.0371;4628.4637;3.7378;915306.508;4.024;862.0183855;0;8.690665362908538;877.7572016537623;-0.15582986290853817
17;59;42;101;Mo;-83519.952;0.308;8.5729159;0.0031;2824.6411;24.0018;910337.648;0.331;865.8645059;0;8.73794952492154;882.5329020170755;-0.1650336249215396
15;58;43;101;Tc;-86344.593;24.004;8.5931366;0.2377;1613.5200;24.0000;907305.271;25.768;867.9067965999999;0;8.76423301900261;885.1875349192636;-0.17109641900261074
13;57;44;101;Ru;-87958.113;0.413;8.601366;0.0041;-545.6846;5.8518;905573.086;0.443;868.737966;0;8.769515845151751;885.7211003603269;-0.1681498451517509
11;56;45;101;Rh;-87412.428;5.841;8.588217199999999;0.0578;-1980.2833;3.9027;906158.903;6.270;867.4099372;0;8.753798003368962;884.1335983402652;-0.16558080336896275
9;55;46;101;Pd;-85432.145;4.588;8.5608644;0.0454;-4097.7606;6.6679;908284.824;4.925;864.6473043999999;0;8.717079493654241;880.4250288590783;-0.15621509365424124
7;54;47;101;Ag;-81334.384;4.838;8.512546500000001;0.0479;-5497.9186;5.0625;912683.951;5.193;859.7671965000001;0;8.659360316007588;874.5953919167664;-0.1468138160075867
5;53;48;101;Cd;-75836.466;1.490;8.4503657;0.0148;-7291.5642;11.7569;918586.209;1.600;853.4869357000001;0;8.580640470429007;866.6446875133297;-0.13027477042900593
3;52;49;101;In;-68544.901;11.662;8.370426;0.1155;-8239.2770;300.2313;926414.025;12.519;845.4130260000001;0;8.480919956918497;856.5729156487681;-0.1104939569184964
1;51;50;101;Sn;-60305.624;300.005;8.281103;2.9703;*;;935259.252;322.068;836.391403;0;8.360198775476052;844.3800763230812;-0.07909577547605195
28;65;37;102;Rb;-37252.312;82.903;8.1527443;0.8128;14906.9991;106.6347;960008.000;89.000;831.5799186;1;8.228307654458044;839.2873807547205;-0.07556335445804407
26;64;38;102;Sr;-52159.311;67.068;8.2912213;0.6575;9013.3301;67.1916;944004.679;72.000;845.7045726;-1;8.387016944269801;855.4757283155197;-0.09579564426980092
24;63;39;102;Y;-61172.641;4.081;8.3719172;0.0400;10408.7856;9.6618;934328.471;4.381;853.9355544;1;8.481628359531088;865.126092672171;-0.10971115953108779
22;62;40;102;Zr;-71581.427;8.758;8.466294;0.0859;4716.8380;9.0530;923154.181;9.401;863.5619879999999;-1;8.599119566762209;877.1101958097453;-0.13282556676220914
20;61;41;102;Nb;-76298.265;2.511;8.5048675;0.0246;7262.6008;8.6750;918090.447;2.695;867.496485;1;8.652512899442858;882.5563157431715;-0.14764539944285815
18;60;42;102;Mo;-83560.866;8.305;8.5683994;0.0814;1012.0557;12.3682;910293.725;8.916;873.9767388;-1;8.728786024093342;890.3361744575209;-0.16038662409334137
16;59;43;102;Tc;-84572.921;9.166;8.570651400000001;0.0899;4533.5134;9.1646;909207.239;9.840;874.2064428000001;1;8.740961274193353;891.578049967722;-0.17030987419335197
14;58;44;102;Ru;-89106.435;0.416;8.6074275;0.0041;-2323.1187;6.3960;904340.312;0.446;877.9576050000001;-1;8.7760163162632;895.1536642588464;-0.16858881626320077
12;57;45;102;Rh;-86783.316;6.410;8.5769818;0.0628;1119.6470;6.3962;906834.282;6.880;874.8521436000001;1;8.746973483782575;892.1912953458227;-0.169991683782575
10;56;46;102;Pd;-87902.963;0.419;8.580288699999999;0.0041;-5656.2615;8.1816;905632.292;0.449;875.1894473999998;-1;8.740810443271785;891.5626652137221;-0.16052174327178648
8;55;47;102;Ag;-82246.702;8.171;8.517165;0.0801;-2587.0000;8.0000;911704.538;8.771;868.7508300000001;1;8.670549528210524;884.3960518774734;-0.15338452821052329
6;54;48;102;Cd;-79659.702;1.662;8.4841322;0.0163;-8964.8059;4.8654;914481.797;1.784;865.3814844;-1;8.623168405119094;879.5631773221476;-0.1390362051190941
4;53;49;102;In;-70694.896;4.573;8.3885719;0.0448;-5760.0000;100.0000;924105.911;4.909;855.6343338;1;8.511689407477196;868.1923195626739;-0.12311750747719508
2;52;50;102;Sn;-64934.896;100.105;8.3244313;0.9814;-13835;412;930289.525;107.466;849.0919926;-1;8.423090201805131;859.1552005841233;-0.09865890180513048
0;51;51;102;Sb;-51100;400;8.181;4;*;;945142;429;834.4619999999999;1;8.270393121582593;843.5800984014245;-0.08939312158259405
29;66;37;103;Rb;-33160;400;8.112;4;14120;447;964401;429;835.5360000000001;0;8.185531882541321;843.109783901756;-0.07353188254132093
27;65;38;103;Sr;-47280;200;8.242;2;11177;201;949243;215;848.926;0;8.327932784793157;857.7770768336952;-0.08593278479315636
25;64;39;103;Y;-58457.034;11.206;8.3426336;0.1088;9351.9600;14.5130;937243.796;12.029;859.2912607999999;0;8.45010515447074;870.3608309104864;-0.10747155447074164
23;63;40;103;Zr;-67808.993;9.223;8.4258337;0.0895;7219.6740;10.0270;927204.054;9.900;867.8608711;0;8.552048991574068;880.861046132129;-0.1262152915740682
21;62;41;103;Nb;-75028.667;3.935;8.488332;0.0382;5925.6639;10.0270;919453.416;4.224;874.298196;0;8.63376429610314;889.2777224986233;-0.1454322961031398
19;61;42;103;Mo;-80954.331;9.223;8.5382672;0.0895;3649.5889;13.4648;913091.954;9.900;879.4415216;0;8.695251068057958;895.6108600099697;-0.15698386805795828
17;60;43;103;Tc;-84603.920;9.810;8.5661045;0.0952;2663.2474;9.8086;909173.960;10.531;882.3087634999999;0;8.73650930743852;899.8604586661677;-0.17040480743852093
15;59;44;103;Ru;-87267.168;0.441;8.5843656;0.0043;764.5378;2.2598;906314.846;0.473;884.1896568;0;8.757539014244829;902.0265184672173;-0.1731734142448289
13;58;45;103;Rh;-88031.705;2.301;8.5841927;0.0223;-574.7252;2.3928;905494.081;2.470;884.1718480999999;0;8.75834018847688;902.1090394131187;-0.17414748847688166
11;57;46;103;Pd;-87456.980;0.878;8.5710173;0.0085;-2654.2778;4.1916;906111.074;0.942;882.8147819;0;8.738912830134677;900.1080215038717;-0.16789553013467717
9;56;47;103;Ag;-84802.702;4.099;8.537652;0.0398;-4151.0761;4.4806;908960.558;4.400;879.378156;0;8.699256939218218;896.0234647394765;-0.1616049392182184
7;55;48;103;Cd;-80651.626;1.811;8.489754699999999;0.0176;-6019.2293;9.1242;913416.922;1.943;874.4447340999999;0;8.639372515727503;889.8553691199328;-0.14961781572750432
5;54;49;103;In;-74632.397;8.980;8.4237199;0.0872;-7540;100;919878.830;9.640;867.6431497;0;8.559259559662536;881.6037346452412;-0.13553965966253578
3;53;50;103;Sn;-67092;100;8.343;1;-10422;316;927973;108;859.329;0;8.45891807102331;871.268561315401;-0.11591807102331053
1;52;51;103;Sb;-56670;300;8.234;3;*;;939162;322;848.102;0;8.338348049809833;858.8498491304127;-0.10434804980983259
30;67;37;104;Rb;-27450;500;8.057;5;16310;583;970531;537;837.928;1;8.120122807018804;844.4927719299557;-0.06312280701880368
28;66;38;104;Sr;-43760;300;8.206;3;10320;361;953022;322;853.424;-1;8.288848644768485;862.0402590559224;-0.08284864476848597
26;65;39;104;Y;-54080;200;8.298;2;11638;200;941943;215;862.992;1;8.395475362747996;873.1294377257916;-0.09747536274799629
24;64;40;104;Zr;-65717.660;9.316;8.4023159;0.0896;6093.3367;9.4851;929449.193;10.000;873.8408536;-1;8.52448375763225;886.5463107937541;-0.12216785763225069
22;63;41;104;Nb;-71810.997;1.784;8.453383200000001;0.0172;8532.7512;9.0879;922907.728;1.915;879.1518528000001;1;8.591393032746335;893.5048754056189;-0.13800983274633438
20;62;42;104;Mo;-80343.748;8.911;8.5279063;0.0857;2155.2212;24.1665;913747.443;9.566;886.9022552;-1;8.680683984765164;902.7911344155771;-0.15277768476516407
18;61;43;104;Tc;-82498.969;24.886;8.541107;0.2393;5596.7945;24.9370;911433.718;26.716;888.275128;1;8.707875817013823;905.6190849694376;-0.16676881701382307
16;60;44;104;Ru;-88095.763;2.498;8.5873998;0.0240;-1136.4195;3.3643;905425.312;2.682;893.0895792;-1;8.757449326167224;910.7747299213913;-0.17004952616722413
14;59;45;104;Rh;-86959.344;2.303;8.5689501;0.0221;2435.7789;2.6595;906645.309;2.471;891.1708104;1;8.744923715550458;909.4720664172477;-0.17597361555045765
12;58;46;104;Pd;-89395.123;1.336;8.5848485;0.0129;-4278.6529;4.0000;904030.393;1.434;892.8242439999999;-1;8.754779781838435;910.4970973111972;-0.1699312818384353
10;57;47;104;Ag;-85116.470;4.217;8.536185;0.0406;-1148.0787;4.5370;908623.715;4.527;887.76324;1;8.702536728356243;905.0638197490493;-0.16635172835624346
8;56;48;104;Cd;-83968.391;1.673;8.5176232;0.0161;-7785.7166;6.0127;909856.228;1.795;885.8328127999999;-1;8.672675351778791;901.9582365849942;-0.15505215177879172
6;55;49;104;In;-76182.675;5.775;8.435238;0.0555;-4555.6174;8.1461;918214.538;6.200;877.264752;1;8.580714855431172;892.3943449648418;-0.14547685543117161
4;54;50;104;Sn;-71627.057;5.745;8.3839114;0.0552;-12332;102;923105.195;6.167;871.9267856;-1;8.511136035988297;885.158147742783;-0.1272246359882967
2;53;51;104;Sb;-59295;101;8.258;1;-9668;333;936344;109;858.8319999999999;1;8.37945809677525;871.463642064626;-0.12145809677525143
0;52;52;104;Te;-49626.831;317.609;8.1573256;3.0539;*;;946723.408;340.967;848.3618624000001;-1;8.270161834466949;860.0968307845627;-0.11283623446694868
29;67;38;105;Sr;-38190;500;8.152;5;12380;640;959001;537;855.9599999999999;0;8.227320466079917;863.8686489383913;-0.07532046607991738
27;66;39;105;Y;-50570;400;8.262;4;10888;400;945711;429;867.51;0;8.36041050993306;877.8431035429712;-0.09841050993305878
25;65;40;105;Zr;-61458.274;12.110;8.358598;0.1153;8457.2728;12.7625;934021.832;13.000;877.6527900000001;0;8.474001346514607;889.7701413840336;-0.11540334651460604
23;64;41;105;Nb;-69915.547;4.028;8.431692499999999;0.0384;7415.2411;9.9106;924942.577;4.324;885.3277124999998;0;8.568092975824559;899.6497624615787;-0.13640047582456027
21;63;42;105;Mo;-77330.788;9.055;8.494862999999999;0.0862;4955.5157;35.0307;916981.989;9.721;891.9606149999998;0;8.642685397862918;907.4819667756063;-0.14782239786291917
19;62;43;105;Tc;-82286.303;35.263;8.5346074;0.3358;3648.2396;35.2787;911662.024;37.856;896.133777;0;8.697778612629682;913.2667543261166;-0.16317121262968115
17;61;44;105;Ru;-85934.543;2.499;8.561901599999999;0.0238;1916.7271;2.8508;907745.478;2.683;898.9996679999999;0;8.733372620124852;917.0041251131095;-0.17147102012485327
15;60;45;105;Rh;-87851.270;2.502;8.572705299999999;0.0238;566.6347;2.3459;905687.787;2.685;900.1340564999999;0;8.749467420348427;918.6940791365848;-0.1767621203484282
13;59;46;105;Pd;-88417.905;1.138;8.5706509;0.0108;-1347.0564;4.6695;905079.479;1.222;899.9183445;0;8.74606301330041;918.3366163965429;-0.17541211330040873
11;58;47;105;Ag;-87070.848;4.544;8.550370800000001;0.0433;-2736.9989;4.3618;906525.604;4.877;897.7889340000002;0;8.723159398980796;915.9317368929835;-0.17278859898079446
9;57;48;105;Cd;-84333.849;1.392;8.5168532;0.0133;-4693.2673;10.3405;909463.893;1.494;894.269586;0;8.68075657738959;911.4794406259068;-0.16390337738958927
7;56;49;105;In;-79640.582;10.246;8.4647045;0.0976;-6302.5807;10.9891;914502.322;11.000;888.7939725;0;8.618854548526786;904.9797275953125;-0.1541500485267857
5;55;50;105;Sn;-73338.001;3.971;8.397229;0.0378;-9322.5103;22.1849;921268.421;4.263;881.709045;0;8.53745331239239;896.432597801201;-0.14022431239239097
3;54;51;105;Sb;-64015.491;21.827;8.3009923;0.2079;-11203.9825;300.8126;931276.547;23.431;871.6041915000001;0;8.4365528689864;885.838051243572;-0.13556056898639923
1;53;52;105;Te;-52811.509;300.020;8.1868368;2.8573;*;;943304.516;322.084;859.617864;0;8.316153218308814;873.1960879224255;-0.12931641830881446
30;68;38;106;Sr;-34300;600;8.114;6;11490;781;963177;644;860.0840000000001;-1;8.185393018239356;867.6516599333718;-0.0713930182393554
28;67;39;106;Y;-45790;500;8.215;5;12959;539;950842;537;870.79;1;8.303079516530282;880.1264287522099;-0.08807951653028212
26;66;40;106;Zr;-58749;200;8.33;2;7453;200;936930;215;882.98;-1;8.442666978969678;894.9226997707858;-0.1126669789696777
24;65;41;106;Nb;-66202.678;1.416;8.3932657;0.0134;9925.3249;9.2388;928928.505;1.520;889.6861642000001;1;8.522054260965833;903.3377516623783;-0.12878856096583213
22;64;42;106;Mo;-76128.003;9.130;8.479520200000001;0.0861;3648.2494;15.2778;918273.231;9.801;898.8291412000001;-1;8.623342507110456;914.0743057537084;-0.14382230711045452
20;63;43;106;Tc;-79776.253;12.250;8.506557;0.1156;6547.0000;11.0000;914356.674;13.150;901.6950420000001;1;8.66443057281184;918.429640718055;-0.15787357281183922
18;62;44;106;Ru;-86323.253;5.391;8.5609406;0.0509;39.4038;0.2121;907328.181;5.787;907.4597036;-1;8.727419602661692;925.1064778821394;-0.16647900266169202
16;61;45;106;Rh;-86362.656;5.390;8.5539317;0.0508;3544.8865;5.3348;907285.879;5.786;906.7167602;1;8.730208452068304;925.4020959192402;-0.17627675206830418
14;60;46;106;Pd;-89907.543;1.106;8.5799934;0.0104;-2965.1434;2.8172;903480.287;1.186;909.4793003999999;-1;8.754898265623385;928.0192161560789;-0.17490486562338603
12;59;47;106;Ag;-86942.399;3.016;8.5446397;0.0285;189.7534;2.8190;906663.499;3.237;905.7318081999999;1;8.719387898735224;924.2551172659338;-0.17474819873522485
10;58;48;106;Cd;-87132.153;1.104;8.5390492;0.0104;-6524.0031;12.1765;906459.791;1.184;905.1392151999999;-1;8.705778495995531;922.8125205755264;-0.1667292959955322
