N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;bind_ene_total;delta;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene
6;26;20;46;Ca;-43139.610;2.234;8.6689848;0.0486;-1377.9665;2.3305;953687.726;2.398;398.7733008;-1;8.732062901395631;401.67489346419904;-0.06307810139563053
4;25;21;46;Sc;-41761.643;0.671;8.6220215;0.0146;2366.6260;0.6666;955167.034;0.720;396.612989;1;8.715367839587245;400.9069206210132;-0.09334633958724403
2;24;22;46;Ti;-44128.269;0.090;8.6564623;0.0020;-7052.3723;0.0923;952626.356;0.097;398.19726579999997;-1;8.746547029642421;402.3411633635514;-0.09008472964242209
0;23;23;46;V;-37075.897;0.134;8.4861423;0.0029;-7604.3264;11.4538;960197.389;0.143;390.36254579999996;1;8.538409183050756;392.7668224203348;-0.05226688305075733
-2;22;24;46;Cr;-29471.570;11.453;8.3038233;0.2490;-17053.8226;87.3828;968360.969;12.295;381.9758718;-1;8.378145588322655;385.3946970628421;-0.07432228832265508
-4;21;25;46;Mn;-12417.748;86.629;7.9160805;1.8832;-13628;312;986669.000;93.000;364.139703;1;7.97856495694771;367.01398801959465;-0.06248445694771032
-6;20;26;46;Fe;1210;300;7.603;7;*;;001299;322;349.738;-1;7.6268585774363284;350.8354945620711;-0.023858577436328687
17;32;15;47;P;28810;600;7.209;13;21610;721;030929;644;338.823;0;6.818366293567793;320.4632157976863;0.3906337064322063
15;31;16;47;S;7200;400;7.652;9;16781;447;007730;429;359.644;0;7.3698993939095505;346.3852715137489;0.2821006060904496
13;30;17;47;Cl;-9580;200;7.992;4;15787;200;989715;215;375.624;0;7.8296302371697175;367.9926211469767;0.16236976283028248
11;29;18;47;Ar;-25367.274;1.211;8.311425;0.0258;10344.7078;1.8490;972767.112;1.300;390.636975;0;8.197558823348295;385.2852646973699;0.11386617665170462
9;28;19;47;K;-35711.982;1.397;8.5148795;0.0297;6632.6837;2.6237;961661.612;1.500;400.19933649999996;0;8.473685152445285;398.2632021649284;0.04119434755471474
7;27;20;47;Ca;-42344.665;2.221;8.6393548;0.0473;1992.1770;1.1849;954541.134;2.384;406.0496756;0;8.658009224460685;406.9264335496522;-0.018654424460684993
5;26;21;47;Sc;-44336.842;1.931;8.6650958;0.0411;600.7694;1.9292;952402.444;2.072;407.25950259999996;0;8.750531039394497;411.2749588515414;-0.08543523939449749
3;25;22;47;Ti;-44937.612;0.080;8.6612325;0.0017;-2930.5422;0.0879;951757.491;0.085;407.07792750000004;0;8.751250597246718;411.3087780705958;-0.09001809724671794
1;24;23;47;V;-42007.070;0.110;8.5822348;0.0024;-7443.9769;5.1976;954903.558;0.118;403.3650356;0;8.660167898017354;407.02789120681564;-0.07793309801735404
-1;23;24;47;Cr;-34563.093;5.197;8.407206700000001;0.1106;-11996.7167;32.0943;962894.995;5.578;395.1387149000001;0;8.477282941706399;398.43229826020075;-0.07007624170639737
-3;22;25;47;Mn;-22566.376;31.671;8.1353117;0.6738;-15437;501;975774.000;34.000;382.3596499;0;8.202595728313856;385.52199923075125;-0.06728402831385516
-5;21;26;47;Fe;-7130;500;7.79;11;-17750;781;992346;537;366.13;0;7.836106257839722;368.29699411846696;-0.046106257839722
-7;20;27;47;Co;10620;600;7.396;13;*;;011401;644;347.612;0;7.377814530284;346.757282923348;0.018185469716000213
16;32;16;48;S;12390;500;7.552;10;16670;707;013301;537;362.496;-1;7.251896607018224;348.0910371368747;0.300103392981776
14;31;17;48;Cl;-4280;500;7.883;10;18075;500;995405;537;378.384;1;7.663851618180606;367.8648776726691;0.21914838181939444
