N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass;M_N_ws4;WS4_diff;bind_ene_total_;prediction_i3;difference_i3;prediction_i4;difference_i4
4;12;8;20;O;3796.172;0.885;7.5685707;0.0442;3813.6349;0.8854;20;18633.678245416057;0.0008849193985339;-1;1;151.37141400000002;7.851838831866478;157.03677663732955;-0.2832681318664773;-5.665362637329537;18628.012884894204;18633.67824753153;-2.115477400366217e-06;3796.171016055322;0.0009839446779551;7.568570805773925;-1.057739247301015e-07;0.0020792999647602;18623.926972588648;18629.5923331105;5.665360521852563;18629.062762094443;0.5295710160571616;151.37141400000002;150.67459106445312;0.6968229355468907;151.4171142578125;-0.045700257812484324
2;11;9;20;F;-17.463;0.03;7.7201351;0.0015;7024.4689;0.0297;19;18629.86461074854;2.887631721532e-05;1;-1;154.402702;8.065461450473938;161.30922900947877;-0.3453263504739379;-6.906527009478765;18622.958085917613;18629.864612927093;-2.178552676923573e-06;-17.463651458622877;0.000651458622876;7.720135208927604;-1.0892760382574806e-07;0.002755375958857;18618.36185073736;18625.26837556829;6.906524830927083;18625.326139219746;-0.0577636514572077;154.402702;154.30938720703125;0.093314792968755;154.2418670654297;0.1608349345703175
0;10;10;20;Ne;-7041.93217;0.00154;8.0322412;0.0002;-13892.4207;1.109;19;18622.84014222022;1.536965271138e-06;-1;1;160.644824;8.277545201323367;165.55090402646732;-0.2453040013233671;-4.906080026467322;18617.934064296183;18622.84014432265;-2.102431608363986e-06;-7041.932179781885;9.781884727999568e-06;8.032241305121534;-1.0512153458819284e-07;0.0035444813290531;18612.82761927061;18617.73369719465;4.906077924035344;18618.15112937444;-0.4174321797836455;160.644824;160.76040649414062;-0.11558249414062516;159.52024841308594;1.1245755869140623
-2;9;11;20;Na;6850.489;1.109;7.2985028;0.0554;-10627.2054;2.1681;20;18636.73256241848;0.0011084779834268;1;-1;145.970056;7.578064083203815;151.5612816640763;-0.2795612832038143;-5.5912256640762905;18631.141340054128;18636.732565718205;-3.299723175587133e-06;6850.48801848159;0.0009815184093895;7.298502964986073;-1.649860728036856e-07;0.0044513845075466;18625.524802981043;18631.1160253454;5.591222364353598;18631.36873732692;-0.25271198151313;145.970056;146.07180786132812;-0.10175186132812541;145.9671630859375;0.0028929140624995853
-4;8;12;20;Mg;17477.694;1.863;6.7280252;0.0931;*;;20;18647.359768130154;0.00186298820744;-1;1;134.560504;6.877044097326231;137.54088194652462;-0.1490188973262309;-2.9803779465246123;18644.37939316724;18647.35977111376;-2.9836046451237053e-06;17477.693730155173;0.0002698448261071;6.72802534918028;-1.491802796849129e-07;0.0054805782190399;18638.252886337177;18641.23326130009;2.980374962917267;18641.67386756994;-0.4406062698508322;134.560504;128.9637908935547;5.596713106445321;134.04078674316406;0.5197172568359463
5;13;8;21;O;8062.034;12.0;7.3893747;0.5714;8109.6390;12.1342;21;19569.43821115;0.011999507044121;0;0;155.1768687;7.516050168181967;157.8370535318213;-0.1266754681819666;-2.6601848318213115;19566.77802971807;19569.43821454989;-3.3998876460827887e-06;8062.033030003409;0.0009699965903564;7.389374861899428;-1.6189942808608748e-07;0.0020792999647602;19562.69211741252;19565.35229884445;2.6601814319328696;19565.087965814444;0.2643330300052184;155.1768687;155.2967987060547;-0.11993000605468751;155.5874481201172;-0.4105794201171875
3;12;9;21;F;-47.605;1.8;7.7382934;0.0857;5684.1712;1.8004;20;19561.32857225084;0.001799646608387;0;0;162.5041614;8.105956399718863;170.22508439409614;-0.3676629997188634;-7.720922994096156;19553.60765225135;19561.328575245447;-2.9946058930363506e-06;-47.60586915964042;0.0008691596404233;7.738293542600288;-1.4260028802226548e-07;0.002755375958857;19549.0114170711;19556.73233707059;7.720919999490434;19556.114542939747;0.6177941308415029;162.5041614;162.56594848632812;-0.06178708632813823;162.31373596191406;0.19042543808592427
1;11;10;21;Ne;-5731.776;0.038;7.9717136;0.0018;-3546.9190;0.0177;20;19555.644401479167;3.819125825252e-05;0;0;167.4059856;8.281025829363745;173.90154241663865;-0.3093122293637451;-6.49555681663864;19549.148847624365;19555.644404441005;-2.9618386179208755e-06;-5731.776640834048;0.0006408340477719;7.971713741039864;-1.4103986423208428e-07;0.0035444813290531;19544.0424025988;19550.5379564536;6.495553854801983;19550.95503309443;-0.4170766408278723;167.4059856;168.97511291503906;-1.5691273150390543;167.78903198242188;-0.38304638242186684
-1;10;11;21;Na;-2184.857;0.042;7.7655581;0.002;-13088.7080;0.7557;20;19559.191320508467;4.19172346674e-05;0;0;163.0767201;8.041258457116607;168.86642759944874;-0.275700357116607;-5.7897074994487525;19553.40161583711;19559.19132333656;-2.8280883270781487e-06;-2184.857611533881;0.0006115338806012;7.765558234670953;-1.3467095349994906e-07;0.0044513845075466;19547.785078764024;19553.574783435382;5.789704671358777;19554.049141046915;-0.4743576115324686;163.0767201;163.22250366210938;-0.14578356210938637;162.7212371826172;0.35548291738280113
-3;9;12;21;Mg;10903.851;0.755;7.1050317;0.0359;-16186;600.0;21;19572.280028265537;0.0007545102240131;0;0;149.2056657;7.386654282977451;155.11973994252648;-0.2816225829774517;-5.914074242526482;19566.365956889586;19572.28003113211;-2.866574504878372e-06;10903.8501455364;0.0008544636002625;7.105031836503518;-1.3650351871064006e-07;0.0054805782190399;19560.23945005953;19566.15352143548;5.914071375951608;19565.96507128994;0.188450145542447;149.2056657;149.31556701660156;-0.10990131660156521;149.24241638183594;-0.03675068183594021
-5;8;13;21;Al;27090.0;600.0;6.297;29.0;*;;21;19588.465889644383;0.5998822027956799;0;0;132.237;6.317213306946278;132.66147944587183;-0.0202133069462782;-0.4244794458718388;19588.041870781795;19588.466350227667;-0.0004605832837114;27089.711524384053;0.2884756159473909;6.297021932537366;-2.193253736670897e-05;0.0066363207837229;19581.40552074361;19581.8295396062;0.4240188625881274;19582.135128081813;-0.3055884756140585;132.237;132.30946350097656;-0.07246350097656773;132.2022705078125;0.03472949218749477
6;14;8;22;O;9283.032;56.921;7.3648722;2.5873;6489.6562;58.2558;22;20502.15331361518;0.056920810196018;-1;1;162.0271884;7.360295432306183;161.92649951073602;0.004576767693817;0.1006888892639779;20502.254005457507;20502.153316568245;-2.9530638130381703e-06;9283.031775181778;0.0002248182208859;7.364872334230148;-1.3423014788571666e-07;0.0020792999647602;20498.16809315195;20498.067401309625;-0.1006918423263414;20497.67936953445;0.3880317751791153;162.0271884;161.23179626464844;0.7953921353515625;162.5964813232422;-0.5692929232421875
4;13;9;22;F;2793.376;12.399;7.6242954;0.5636;10818.0916;12.399;22;20495.663657536163;0.0123981865205131;1;-1;167.7344988;7.873610462425566;173.21943017336244;-0.2493150624255653;-5.4849313733624285;20490.17872819044;20495.6636595638;-2.0276384020689875e-06;2793.3756961626764;0.0003038373238268;7.624295492165402;-9.216540153289544e-08;0.002755375958857;20485.582493010188;20491.06742235591;5.484929345722776;20490.73104665975;0.3363756961625768;167.7344988;168.32679748535156;-0.5922986853515511;168.06593322753906;-0.33143442753905106
2;12;10;22;Ne;-8024.716;0.018;8.0804656;0.0008;-2843.3243;0.1325;21;20484.845565395284;1.6766893866959998e-05;-1;1;177.7702432;8.402686711412398;184.8591076510728;-0.3222211114123983;-7.088864451072766;20477.756704108288;20484.84556855936;-3.164073859807104e-06;-8024.7164447143;0.0004447143001016;8.080465743821565;-1.438215644355978e-07;0.0035444813290531;20472.65025908272;20479.739120369715;7.088861286996689;20479.86833681443;-0.1292164447149844;177.7702432;177.79547119140625;-0.02522799140623988;177.78182983398438;-0.01158663398436488
0;11;11;22;Na;-5181.391;0.132;7.9156624;0.006;-4781.4051;0.1631;21;20487.68888966828;0.0001313406686245;1;-1;174.14457280000002;8.158728045270854;179.49201699595878;-0.2430656452708532;-5.347444195958758;20482.34144815896;20487.688892354912;-2.6866364351008087e-06;-5181.392171722542;0.0011717225424945;7.915662522119832;-1.2211983158039177e-07;0.0044513845075466;20476.72491108587;20482.07235259519;5.34744150932238;20482.033744766915;0.0386078282754169;174.14457280000002;174.06529235839844;0.07928044160158265;174.66937255859375;-0.5247997585937298
-2;10;12;22;Mg;-399.986;0.159;7.662764500000001;0.0072;-18601;401.0;21;20492.47029547738;0.0001583539976324;-1;1;168.58081900000002;7.9305305979967615;174.47167315592876;-0.2677660979967609;-5.890854155928736;20486.57944539454;20492.470299550467;-4.073088348377496e-06;-399.9863626213808;0.0003626213807592;7.662764685140329;-1.8514032795735602e-07;0.0054805782190399;20480.45293856448;20486.34378864732;5.890850082840188;20486.58937500994;-0.245586362620088;168.58081900000002;169.89898681640625;-1.3181678164062305;169.0537109375;-0.4728919374999805
-4;9;13;22;Al;18201.0;401.0;6.782;18.0;-15439;641.0;22;20511.07167662669;0.4005424645995999;1;-1;149.204;6.929298235594292;152.44456118307443;-0.1472982355942917;-3.240561183074419;20507.82421076295;20511.06477194602;0.0069046806675032;18201.39478668808;-0.3947866880771471;6.78168615087882;0.0003138491211798;0.0066363207837229;20501.187860724764;20504.435326588504;3.247465863740217;20504.90713180181;-0.4718052133102901;149.204;146.27696228027344;2.9270377197265702;146.02212524414062;3.1818747558593827
-6;8;14;22;Si;33640.0;500.0;6.044;23.0;*;;22;20526.51025990174;0.50021233369764;-1;1;132.968;5.943827092059272;130.764196025304;0.1001729079407276;2.203803974696001;20528.72222931628;20526.51842534158;-0.0081654398381942;33639.97806174199;0.0219382580107776;6.044371156356316;-0.0003711563563166;0.0079226688074203;20521.576166675422;20519.36419726089;-2.211969414536725;20519.48981919915;-0.1256219382594281;132.968;133.23365783691406;-0.2656578369140732;133.11712646484375;-0.1491264648437607
